cod_ibge,municipio,lat,lon
4102000,Assis Chateaubriand,-24.40801,-53.54577
4103057,Boa Vista da Aparecida,-25.43608,-53.41792
4103354,Braganey,-24.79051,-53.08391
4103453,Cafelandia,-24.6868,-53.34936
4104600,Capitao Leonidas Marques,-25.45429,-53.60809
4104808,Cascavel,-25.04203,-53.3919
4105300,Ceu Azul,-25.2978,-53.74769
4106308,Corbelia,-24.72178,-53.23295
4107157,Diamante D'Oeste,-24.93822,-54.10751
4107538,Entre Rios do Oeste,-24.70483,-54.21281
4108304,Foz do Iguacu,-25.45123,-54.45958
4108809,Guaira,-24.24346,-54.21545
4109757,Ibema,-25.16162,-53.01215
4110656,Iracema do Oeste,-24.43178,-53.33955
4112751,Jesuitas,-24.40246,-53.41532
4113452,Lindoeste,-25.25591,-53.57113
4114609,Marechal Candido Rondon,-24.56738,-54.10676
4115606,Matelandia,-25.36063,-53.88676
4115804,Medianeira,-25.26369,-54.12504
4115853,Mercedes,-24.42466,-54.16779
4116703,Nova Aurora,-24.51195,-53.29658
4117453,Ouro Verde do Oeste,-24.79174,-53.94286
4117909,Palotina,-24.25644,-53.76562
4118451,Pato Bragado,-24.64359,-54.23665
4120853,Quatro Pontes,-24.5593,-53.96861
4121257,Ramilandia,-25.08268,-54.02317
4123501,Santa Helena,-24.90059,-54.27997
4123824,Santa Lucia,-25.39694,-53.54024
4124020,Santa Tereza do Oeste,-25.04478,-53.61032
4125456,Sao Jose das Palmeiras,-24.83128,-54.12408
4125704,Sao Miguel do Iguacu,-25.36972,-54.23093
4127403,Terra Roxa,-24.22373,-54.08202
4127700,Toledo,-24.72403,-53.82229
4127858,Tres Barras do Parana,-25.42347,-53.22954
4128559,Vera Cruz do Oeste,-24.94906,-53.93155
