cod_ibge,municipio,uf,domicilios,esgoto_inadequado_pct,esgoto_adequado_pct,esgoto_rede_pct,fossa_septica_pct,fossa_rudimentar_pct,sem_banheiro_pct,agua_rede_pct,agua_poco_profundo_pct,agua_poco_raso_pct,agua_nascente_pct,agua_carropipa_pct,agua_chuva_pct,agua_superficial_pct,agua_sem_rede_pct
4102000,Assis Chateaubriand,PR,13907,51.67,48.29,38.4,9.89,51.54,0.01,89.82,5.98,2.37,1.76,0.0,0.01,0.03,8.38
4103057,Boa Vista da Aparecida,PR,2898,63.22,36.75,26.16,10.59,62.94,0.0,74.84,6.94,2.73,15.39,0.03,0.0,0.03,24.74
4103354,Braganey,PR,1862,97.1,2.85,0.16,2.69,97.05,0.05,78.09,5.37,2.09,14.34,0.0,0.0,0.0,21.48
4103453,Cafelândia,PR,6776,14.4,85.54,80.14,5.4,14.34,0.0,90.13,6.35,0.4,3.13,0.0,0.0,0.0,9.12
4104600,Capitão Leônidas Marques,PR,5488,79.28,20.39,2.68,17.71,79.25,0.0,83.55,13.16,0.42,2.79,0.0,0.02,0.0,15.47
4104808,Cascavel,PR,129853,5.75,94.17,91.28,2.89,5.69,0.0,87.61,10.84,0.34,1.16,0.0,0.0,0.0,5.15
4105300,Céu Azul,PR,4177,20.35,79.65,67.97,11.68,20.35,0.0,83.36,6.58,0.55,9.46,0.0,0.02,0.02,12.43
4106308,Corbélia,PR,6417,29.3,70.67,61.59,9.09,29.23,0.0,86.86,6.73,1.32,5.0,0.0,0.05,0.02,10.58
4107157,Diamante D'Oeste,PR,1687,79.55,20.27,2.43,17.84,79.37,0.06,71.01,17.43,0.89,9.31,1.36,0.0,0.0,27.27
4107538,Entre Rios do Oeste,PR,1711,56.58,42.96,1.69,41.26,56.34,0.0,96.03,3.33,0.23,0.29,0.0,0.06,0.0,0.53
4108304,Foz do Iguaçu,PR,100235,11.04,88.89,79.33,9.56,9.98,0.01,96.23,2.98,0.47,0.15,0.0,0.01,0.01,1.65
4108809,Guaíra,PR,11741,34.04,65.9,55.26,10.64,33.5,0.03,92.3,6.11,1.19,0.27,0.0,0.0,0.03,5.5
4109757,Ibema,PR,2350,95.79,4.21,0.47,3.74,95.74,0.0,87.87,4.26,0.6,7.28,0.0,0.0,0.0,11.79
4110656,Iracema do Oeste,PR,866,97.46,2.54,2.31,0.23,97.34,0.0,82.91,9.7,1.62,5.77,0.0,0.0,0.0,13.97
4112751,Jesuítas,PR,3788,98.55,1.45,1.4,0.05,98.55,0.0,81.86,8.26,3.91,5.97,0.0,0.0,0.0,10.59
4113452,Lindoeste,PR,1877,87.11,12.68,2.88,9.8,87.05,0.05,63.08,16.14,1.55,19.07,0.0,0.0,0.05,31.38
4114609,Marechal Cândido Rondon,PR,21046,28.33,71.63,29.07,42.56,28.31,0.0,95.62,3.06,0.57,0.57,0.0,0.01,0.01,1.6
4115606,Matelândia,PR,6501,17.04,82.94,62.62,20.32,17.0,0.0,88.08,5.85,0.91,5.0,0.08,0.02,0.02,5.94
4115804,Medianeira,PR,19553,21.14,78.8,38.44,40.35,20.59,0.01,91.33,6.47,0.66,1.47,0.0,0.01,0.03,5.02
4115853,Mercedes,PR,2149,55.1,44.86,3.12,41.74,54.96,0.0,88.51,4.42,2.98,4.09,0.0,0.0,0.0,2.89
4116703,Nova Aurora,PR,4897,47.13,52.83,50.19,2.63,47.05,0.04,81.25,11.01,0.82,6.86,0.0,0.0,0.0,17.89
4117453,Ouro Verde do Oeste,PR,2469,72.17,27.74,8.79,18.96,72.09,0.04,78.33,18.71,0.24,2.67,0.0,0.0,0.0,16.24
4117909,Palotina,PR,12658,24.85,75.14,59.49,15.65,24.82,0.01,91.28,7.72,0.58,0.41,0.0,0.0,0.0,7.77
4118451,Pato Bragado,PR,2116,78.02,21.98,1.65,20.32,77.93,0.0,91.92,6.14,0.71,1.23,0.0,0.0,0.0,1.7
4120853,Quatro Pontes,PR,1696,51.95,47.94,9.61,38.33,51.95,0.0,88.15,6.49,2.65,2.71,0.0,0.0,0.0,5.66
4121257,Ramilândia,PR,1460,80.68,19.25,0.55,18.7,80.62,0.0,71.03,20.27,0.41,7.53,0.75,0.0,0.0,18.22
4123501,Santa Helena,PR,9524,50.63,49.36,37.8,11.56,50.61,0.0,94.56,5.12,0.09,0.18,0.01,0.0,0.01,3.14
4123824,Santa Lúcia,PR,1389,87.62,12.38,12.17,0.22,87.47,0.0,68.75,22.89,0.5,7.85,0.0,0.0,0.0,30.45
4124020,Santa Tereza do Oeste,PR,4667,70.92,28.99,6.09,22.91,70.86,0.0,90.31,5.29,0.84,3.56,0.0,0.0,0.0,7.82
4125456,São José das Palmeiras,PR,1513,97.69,2.31,1.19,1.12,97.69,0.0,82.68,8.66,1.19,7.4,0.07,0.0,0.0,9.52
4125704,São Miguel do Iguaçu,PR,10685,26.99,73.0,52.35,20.65,25.13,0.05,76.56,20.12,1.98,1.11,0.0,0.02,0.04,11.02
4127403,Terra Roxa,PR,6763,34.47,65.5,47.86,17.64,34.45,0.0,85.3,11.12,1.73,1.8,0.01,0.0,0.0,13.0
4127700,Toledo,PR,56389,13.96,85.98,75.03,10.95,13.92,0.0,93.46,4.98,0.66,0.86,0.0,0.0,0.0,4.87
4127858,Três Barras do Paraná,PR,4098,46.88,53.03,40.73,12.3,45.88,0.05,62.54,11.35,7.27,18.69,0.0,0.0,0.07,33.7
4128559,Vera Cruz do Oeste,PR,3140,27.32,72.48,65.06,7.42,27.01,0.0,79.9,6.11,0.96,13.03,0.0,0.0,0.0,18.28
