cod_ibge,municipio,uf,domicilios,esgoto_inadequado_pct,esgoto_adequado_pct,esgoto_rede_pct,fossa_septica_pct,fossa_rudimentar_pct,sem_banheiro_pct,agua_rede_pct,agua_poco_profundo_pct,agua_poco_raso_pct,agua_nascente_pct,agua_carropipa_pct,agua_chuva_pct,agua_superficial_pct,agua_sem_rede_pct
1100015,Alta Floresta D'Oeste,RO,7695,81.0,18.91,0.47,18.44,80.34,0.14,26.48,22.81,40.21,10.03,0.03,0.04,0.32,66.26
1100023,Ariquemes,RO,34768,66.33,33.57,1.99,31.58,66.08,0.03,54.34,20.05,24.77,0.77,0.0,0.01,0.01,34.64
1100031,Cabixi,RO,1967,83.63,16.37,1.58,14.79,83.48,0.0,39.3,32.99,22.06,5.59,0.0,0.0,0.05,50.64
1100049,Cacoal,RO,31917,21.12,78.78,67.19,11.59,20.71,0.05,80.07,8.05,6.73,5.05,0.0,0.0,0.03,17.47
1100056,Cerejeiras,RO,5873,13.01,86.94,57.99,28.95,12.99,0.0,49.48,24.03,26.15,0.32,0.0,0.0,0.0,31.93
1100064,Colorado do Oeste,RO,5991,66.52,33.32,2.62,30.7,66.15,0.02,70.81,11.25,10.43,7.28,0.0,0.0,0.15,24.59
1100072,Corumbiara,RO,2840,96.83,3.1,0.7,2.39,96.16,0.32,20.99,3.63,67.29,7.89,0.0,0.0,0.07,66.2
1100080,Costa Marques,RO,4161,83.73,15.72,0.05,15.67,83.25,0.41,19.35,19.35,60.39,0.34,0.0,0.0,0.36,78.18
1100098,Espigão D'Oeste,RO,10470,68.62,30.99,6.6,24.39,65.23,0.18,44.87,9.7,35.03,9.55,0.15,0.01,0.59,37.98
1100106,Guajará-Mirim,RO,11803,61.34,37.26,9.01,28.25,56.3,2.68,40.46,32.01,23.23,0.56,0.01,0.02,3.1,53.88
1100114,Jaru,RO,18947,71.77,27.93,1.78,26.15,71.03,0.03,46.12,9.86,40.07,3.84,0.0,0.02,0.04,36.63
1100122,Ji-Paraná,RO,45016,62.0,37.83,7.57,30.26,60.49,0.08,59.95,14.55,24.28,1.03,0.0,0.0,0.05,29.57
1100130,Machadinho D'Oeste,RO,10841,90.54,9.33,3.13,6.21,90.04,0.37,40.39,28.76,20.51,9.95,0.0,0.0,0.25,53.65
1100148,Nova Brasilândia D'Oeste,RO,5798,78.54,21.39,7.0,14.38,78.29,0.09,36.12,13.95,36.39,13.38,0.03,0.0,0.03,60.18
1100155,Ouro Preto do Oeste,RO,13323,83.87,15.99,2.23,13.76,80.23,0.04,56.66,12.2,27.75,3.28,0.0,0.02,0.03,33.65
1100189,Pimenta Bueno,RO,12351,72.87,26.95,9.44,17.5,72.28,0.06,76.36,8.55,8.73,5.83,0.02,0.01,0.44,20.44
1100205,Porto Velho,RO,151905,40.37,59.01,22.99,36.03,37.86,0.17,36.72,35.03,26.51,0.45,0.03,0.03,0.43,55.48
1100254,Presidente Médici,RO,7230,68.8,31.11,5.21,25.89,68.6,0.08,50.1,13.67,29.49,6.61,0.0,0.0,0.12,38.15
1100262,Rio Crespo,RO,1250,96.24,3.76,1.28,2.48,95.44,0.48,9.92,21.52,66.24,2.0,0.0,0.0,0.24,74.08
1100288,Rolim de Moura,RO,20991,69.97,29.88,3.62,26.26,69.26,0.03,66.36,7.94,24.14,1.45,0.01,0.0,0.05,26.63
1100296,Santa Luzia D'Oeste,RO,2758,96.3,3.55,2.86,0.69,95.9,0.11,33.61,17.33,36.58,12.33,0.0,0.0,0.11,55.08
