cod_ibge,municipio,uf,domicilios,esgoto_inadequado_pct,esgoto_adequado_pct,esgoto_rede_pct,fossa_septica_pct,fossa_rudimentar_pct,sem_banheiro_pct,agua_rede_pct,agua_poco_profundo_pct,agua_poco_raso_pct,agua_nascente_pct,agua_carropipa_pct,agua_chuva_pct,agua_superficial_pct,agua_sem_rede_pct
2100055,Açailândia,MA,34388,63.35,34.85,10.31,24.53,60.49,0.2,91.99,6.7,0.82,0.07,0.05,0.02,0.18,5.12
2100105,Afonso Cunha,MA,1699,73.57,26.02,5.94,20.07,38.2,28.31,61.15,21.31,8.12,0.53,6.47,0.0,0.0,19.95
2100154,Água Doce do Maranhão,MA,3543,53.15,37.85,7.11,30.74,49.2,3.56,76.43,18.18,1.33,0.51,0.08,0.03,3.08,12.62
2100204,Alcântara,MA,6288,65.81,31.73,5.44,26.29,59.97,2.21,45.85,45.56,7.73,0.21,0.0,0.16,0.05,13.8
2100303,Aldeias Altas,MA,6664,49.23,45.57,7.44,38.13,22.54,16.93,40.32,36.13,19.97,0.45,1.58,0.02,0.44,51.2
2100402,Altamira do Maranhão,MA,1950,49.38,48.51,17.69,30.82,44.56,2.05,68.46,14.05,16.97,0.1,0.0,0.0,0.0,27.38
2100436,Alto Alegre do Maranhão,MA,7540,54.5,42.41,4.31,38.1,48.85,2.93,78.97,17.68,2.36,0.09,0.09,0.08,0.04,12.12
2100477,Alto Alegre do Pindaré,MA,7425,78.69,17.43,1.1,16.32,71.27,1.41,78.32,18.37,3.1,0.05,0.01,0.0,0.03,9.02
2100501,Alto Parnaíba,MA,3405,56.68,39.79,27.64,12.16,42.82,12.83,73.13,9.02,3.99,5.93,0.06,0.06,7.64,22.17
2100550,Amapá do Maranhão,MA,2025,98.37,1.58,1.48,0.1,87.11,0.2,75.41,12.15,12.15,0.05,0.0,0.05,0.1,16.4
2100600,Amarante do Maranhão,MA,10849,80.02,9.09,1.41,7.68,67.83,5.84,70.85,12.74,11.54,0.28,2.03,0.05,1.03,24.44
2100709,Anajatuba,MA,8159,88.01,8.25,0.49,7.76,81.05,4.41,53.17,29.89,9.24,0.04,1.24,3.58,2.1,36.55
2100808,Anapurus,MA,3996,87.74,11.54,0.18,11.36,69.64,16.97,58.68,33.76,7.13,0.08,0.0,0.0,0.05,28.85
2100832,Apicum-Açu,MA,5044,98.59,1.05,0.1,0.95,86.6,0.59,90.82,6.17,1.63,0.38,0.0,0.04,0.1,6.64
2100873,Araguanã,MA,3210,74.42,23.49,0.56,22.93,64.95,2.37,47.29,13.36,38.1,0.12,0.53,0.03,0.0,39.41
2100907,Araioses,MA,11973,86.64,7.31,0.18,7.13,72.35,12.04,42.83,32.78,15.15,0.18,0.12,0.18,6.91,45.41
2100956,Arame,MA,7154,94.52,1.27,0.63,0.64,74.64,15.39,56.29,17.31,21.69,0.04,2.66,0.32,0.18,34.15
2101004,Arari,MA,8966,86.26,8.52,4.46,4.06,81.79,1.9,62.39,20.47,2.0,0.06,1.16,6.0,6.84,31.27
2101103,Axixá,MA,3344,63.16,30.35,0.63,29.72,54.61,2.78,53.08,21.95,19.56,3.32,0.0,0.09,0.84,42.73
2101202,Bacabal,MA,32893,52.4,44.2,22.73,21.46,45.29,1.55,81.41,15.65,1.45,0.05,0.03,0.03,0.16,11.97
2101251,Bacabeira,MA,5290,90.15,7.24,2.51,4.73,84.84,2.44,85.95,12.85,0.72,0.02,0.0,0.0,0.04,10.11
2101301,Bacuri,MA,5126,76.53,17.5,0.82,16.68,74.81,0.9,83.38,8.17,3.14,2.93,0.0,0.02,0.08,11.94
2101350,Bacurituba,MA,1742,61.08,34.5,0.4,34.1,58.67,0.75,76.12,14.24,9.01,0.0,0.0,0.11,0.0,13.2
2101400,Balsas,MA,30817,30.36,68.36,11.91,56.45,27.14,2.16,79.3,8.25,8.88,0.91,0.42,0.01,2.1,16.06
2101509,Barão de Grajaú,MA,6226,51.69,44.65,1.43,43.22,38.26,10.39,53.87,42.69,1.3,0.26,0.31,0.02,1.27,22.13
2101608,Barra do Corda,MA,27087,82.12,15.25,3.41,11.84,77.4,2.99,57.64,27.71,3.3,0.14,4.09,0.28,6.01,25.15
2101707,Barreirinhas,MA,17971,61.35,36.96,8.03,28.93,58.4,1.25,26.15,58.57,12.98,0.24,0.02,0.03,0.97,69.61
2101731,Belágua,MA,2070,97.54,1.79,0.1,1.69,83.96,5.99,55.7,25.85,12.17,0.97,0.1,0.0,2.8,30.0
2101772,Bela Vista do Maranhão,MA,3492,19.7,77.66,0.83,76.83,17.3,1.09,90.92,8.65,0.29,0.0,0.0,0.0,0.0,2.15
2101806,Benedito Leite,MA,1756,92.65,4.61,2.05,2.56,82.63,7.0,84.28,2.16,9.17,0.28,0.11,0.0,3.13,14.75
2101905,Bequimão,MA,6707,92.86,5.83,0.18,5.65,86.52,3.31,41.15,21.59,36.08,0.06,0.0,0.06,0.03,42.22
2101939,Bernardo do Mearim,MA,1803,34.11,64.89,2.27,62.62,33.11,0.06,53.85,21.63,24.07,0.0,0.06,0.06,0.06,37.27
2101970,Boa Vista do Gurupi,MA,2146,92.4,3.68,0.47,3.22,74.09,1.35,38.82,30.71,29.54,0.09,0.0,0.0,0.09,41.94
2102002,Bom Jardim,MA,9753,52.6,45.62,6.4,39.22,45.64,2.24,71.48,17.08,9.39,0.17,0.88,0.0,0.55,18.39
2102036,Bom Jesus das Selvas,MA,8264,95.67,3.39,1.73,1.66,91.2,2.54,75.53,16.52,4.56,0.11,2.08,0.29,0.16,16.75
2102077,Bom Lugar,MA,3560,26.46,70.45,8.12,62.33,24.13,0.65,50.76,35.93,12.72,0.0,0.0,0.0,0.03,35.11
2102101,Brejo,MA,9644,69.35,25.36,1.22,24.14,48.02,18.65,30.98,38.33,21.83,0.29,0.69,0.25,4.9,54.8
2102150,Brejo de Areia,MA,2545,19.1,71.79,0.79,71.0,10.18,8.61,73.24,4.17,22.12,0.04,0.0,0.0,0.12,21.22
2102200,Buriti,MA,8083,96.62,0.63,0.07,0.56,55.92,39.73,19.45,44.28,30.43,2.24,0.58,0.09,2.05,72.39
2102309,Buriti Bravo,MA,6661,87.6,11.02,0.48,10.54,79.24,6.07,78.95,15.76,1.98,0.02,1.02,0.0,0.86,19.35
2102325,Buriticupu,MA,16339,67.1,32.03,8.94,23.1,64.45,0.81,67.7,11.52,2.58,0.01,17.19,0.04,0.08,13.09
2102358,Buritirana,MA,4116,97.4,2.07,0.22,1.85,94.14,0.41,81.46,9.72,8.55,0.02,0.0,0.0,0.07,11.93
2102374,Cachoeira Grande,MA,2681,90.82,6.01,0.11,5.89,75.57,4.96,15.29,39.65,33.2,2.76,0.04,0.0,6.83,78.93
2102408,Cajapió,MA,3145,98.09,1.18,0.32,0.86,85.5,1.18,74.34,16.03,8.78,0.03,0.0,0.0,0.06,20.51
2102507,Cajari,MA,4907,92.13,3.55,0.33,3.22,78.46,4.32,31.55,39.72,21.23,0.04,0.02,0.08,5.83,55.39
