cod_ibge,municipio,uf,domicilios,esgoto_inadequado_pct,esgoto_adequado_pct,esgoto_rede_pct,fossa_septica_pct,fossa_rudimentar_pct,sem_banheiro_pct,agua_rede_pct,agua_poco_profundo_pct,agua_poco_raso_pct,agua_nascente_pct,agua_carropipa_pct,agua_chuva_pct,agua_superficial_pct,agua_sem_rede_pct
4100103,Abatiá,PR,2714,27.49,72.44,45.76,26.68,25.87,0.04,79.55,6.6,0.33,13.41,0.0,0.0,0.11,19.16
4100202,Adrianópolis,PR,2319,39.59,60.03,32.51,27.51,32.82,0.04,52.52,1.03,0.09,45.84,0.04,0.0,0.43,46.31
4100301,Agudos do Sul,PR,3633,65.65,34.19,19.98,14.2,65.21,0.14,56.76,27.03,5.53,10.46,0.0,0.0,0.06,36.36
4100400,Almirante Tamandaré,PR,40796,13.52,86.33,69.66,16.67,12.05,0.0,94.94,2.11,0.58,2.16,0.0,0.0,0.01,4.06
4100459,Altamira do Paraná,PR,1330,82.11,17.82,11.88,5.94,81.88,0.0,63.91,15.71,1.58,18.5,0.23,0.0,0.08,29.47
4100509,Altônia,PR,7197,38.18,61.82,50.62,11.2,38.07,0.01,81.96,16.94,0.38,0.64,0.0,0.01,0.04,10.89
4100608,Alto Paraná,PR,5065,33.6,66.36,59.19,7.17,33.6,0.0,87.6,10.54,0.34,1.48,0.0,0.0,0.0,10.54
4100707,Alto Piquiri,PR,3683,33.51,66.47,56.94,9.53,33.51,0.0,86.53,11.11,0.87,1.33,0.0,0.05,0.03,5.78
4100806,Alvorada do Sul,PR,3888,50.67,49.33,0.49,48.84,50.64,0.0,83.62,14.74,0.51,0.87,0.15,0.0,0.03,12.91
4100905,Amaporã,PR,1735,62.07,37.93,37.52,0.4,61.96,0.0,79.14,19.94,0.17,0.46,0.0,0.0,0.12,5.65
4101002,Ampére,PR,7293,15.12,84.82,65.5,19.32,15.1,0.0,80.42,11.83,1.34,6.35,0.0,0.0,0.03,8.52
4101051,Anahy,PR,1116,16.58,83.33,0.9,82.44,16.58,0.0,82.62,6.27,0.27,10.84,0.0,0.0,0.0,16.49
4101101,Andirá,PR,7475,18.15,81.79,62.52,19.28,17.9,0.0,95.68,3.0,0.66,0.62,0.0,0.01,0.01,3.99
4101150,Ângulo,PR,1221,52.17,47.83,2.13,45.7,52.01,0.0,85.75,12.78,0.49,0.98,0.0,0.0,0.0,11.63
4101200,Antonina,PR,6523,22.43,77.05,60.28,16.77,12.14,0.05,87.71,2.04,0.6,8.34,0.02,0.03,1.06,11.64
