ano,mes,casos,total,anomalia_mm,oni,fase,dias_20mm,dias_50mm,max_diario_mm,temp_media,t,anomalia_mm_lag0,anomalia_mm_lag1,anomalia_mm_lag2,dias_20mm_lag0,dias_20mm_lag1,dias_20mm_lag2,dias_50mm_lag0,dias_50mm_lag1,dias_50mm_lag2,max_diario_mm_lag0,max_diario_mm_lag1,max_diario_mm_lag2
2008,1,383.0,5466.0,-26.22780952380953,-1.64,La Nina forte,1.571,0.114,34.031,24.016,0,-26.22780952380953,,,1.571,,,0.114,,,34.031,,
2008,2,264.0,6679.0,9.11104761904761,-1.52,La Nina forte,3.114,0.143,44.166,23.974,1,9.11104761904761,-26.22780952380953,,3.114,1.571,,0.143,0.114,,44.166,34.031,
2008,3,485.0,6924.0,-64.18809523809524,-1.29,La Nina moderada,0.229,0.0,16.646,23.202,2,-64.18809523809524,9.11104761904761,-26.22780952380953,0.229,3.114,1.571,0.0,0.143,0.114,16.646,44.166,34.031
2008,4,309.0,6642.0,32.71933333333331,-1.01,La Nina moderada,2.057,0.286,45.134,20.852,3,32.71933333333331,-64.18809523809524,9.11104761904761,2.057,0.229,3.114,0.286,0.0,0.143,45.134,16.646,44.166
2008,5,317.0,6390.0,-44.40895238095237,-0.84,La Nina fraca,1.886,0.429,47.209,17.405,4,-44.40895238095237,32.71933333333331,-64.18809523809524,1.886,2.057,0.229,0.429,0.286,0.0,47.209,45.134,16.646
2008,6,273.0,6611.0,2.8077142857142974,-0.61,La Nina fraca,2.4,0.0,31.671,15.389,5,2.8077142857142974,-44.40895238095237,32.71933333333331,2.4,1.886,2.057,0.0,0.429,0.286,31.671,47.209,45.134
2008,7,301.0,6601.0,-26.69219047619048,-0.37,neutro,1.229,0.0,27.346,18.48,6,-26.69219047619048,2.8077142857142974,-44.40895238095237,1.229,2.4,1.886,0.0,0.0,0.429,27.346,31.671,47.209
2008,8,308.0,7007.0,107.9549523809524,-0.23,neutro,3.571,0.057,38.183,19.147,7,107.9549523809524,-26.69219047619048,2.8077142857142974,3.571,1.229,2.4,0.057,0.0,0.0,38.183,27.346,31.671
2008,9,325.0,6802.0,-69.28866666666669,-0.24,neutro,1.514,0.0,32.84,18.23,8,-69.28866666666669,107.9549523809524,-26.69219047619048,1.514,3.571,1.229,0.0,0.057,0.0,32.84,38.183,27.346
2008,10,364.0,6580.0,40.247714285714295,-0.35,neutro,3.229,1.029,65.509,22.49,9,40.247714285714295,-69.28866666666669,107.9549523809524,3.229,1.514,3.571,1.029,0.0,0.057,65.509,32.84,38.183
