cod_ibge,municipio,ano,populacao,area_km2,densidade,pib_per_capita
4102000,Assis Chateaubriand,2008,33077,983.0,33.65,15027.9
4102000,Assis Chateaubriand,2009,33023,983.0,33.59,12353.57
4102000,Assis Chateaubriand,2010,33013,983.0,33.58,16868.51
4102000,Assis Chateaubriand,2011,33003,983.0,33.57,18720.45
4102000,Assis Chateaubriand,2012,32981,983.0,33.55,19424.85
4102000,Assis Chateaubriand,2013,33988,983.0,34.58,26826.0
4102000,Assis Chateaubriand,2014,34008,983.0,34.6,27072.69
4102000,Assis Chateaubriand,2015,34027,983.0,34.62,29225.47
4102000,Assis Chateaubriand,2016,34046,983.0,34.63,33930.51
4102000,Assis Chateaubriand,2017,34064,983.0,34.65,33812.85
4102000,Assis Chateaubriand,2018,33397,983.0,33.97,36800.16
4102000,Assis Chateaubriand,2019,33362,983.0,33.94,35134.49
4102000,Assis Chateaubriand,2020,33340,983.0,33.92,41843.04
4102000,Assis Chateaubriand,2021,33306,983.0,33.88,49038.01
4102000,Assis Chateaubriand,2022,34906,983.0,35.51,46341.26
4102000,Assis Chateaubriand,2023,36505,983.0,37.14,55711.03
4102000,Assis Chateaubriand,2024,38105,983.0,38.76,53371.76
4102000,Assis Chateaubriand,2025,38357,983.0,39.02,53021.12
4102000,Assis Chateaubriand,2026,38357,983.0,39.02,53021.12
4103057,Boa Vista da Aparecida,2008,7972,266.8,29.88,6899.4
4103057,Boa Vista da Aparecida,2009,7919,266.8,29.68,6885.84
4103057,Boa Vista da Aparecida,2010,7896,266.8,29.6,7602.96
4103057,Boa Vista da Aparecida,2011,7872,266.8,29.51,9065.68
4103057,Boa Vista da Aparecida,2012,7834,266.8,29.36,10285.93
4103057,Boa Vista da Aparecida,2013,8028,266.8,30.09,12022.8
4103057,Boa Vista da Aparecida,2014,7998,266.8,29.98,13330.33
4103057,Boa Vista da Aparecida,2015,7968,266.8,29.87,14774.6
4103057,Boa Vista da Aparecida,2016,7939,266.8,29.76,16823.4
4103057,Boa Vista da Aparecida,2017,7911,266.8,29.65,17035.39
4103057,Boa Vista da Aparecida,2018,7643,266.8,28.65,18345.68
4103057,Boa Vista da Aparecida,2019,7591,266.8,28.45,18545.51
4103057,Boa Vista da Aparecida,2020,7540,266.8,28.26,23924.14
4103057,Boa Vista da Aparecida,2021,7524,266.8,28.2,24629.85
4103057,Boa Vista da Aparecida,2022,7694,266.8,28.84,24992.46
4103057,Boa Vista da Aparecida,2023,7864,266.8,29.48,28285.48
4103057,Boa Vista da Aparecida,2024,8034,266.8,30.11,27686.96
4103057,Boa Vista da Aparecida,2025,8023,266.8,30.07,27724.92
4103057,Boa Vista da Aparecida,2026,8023,266.8,30.07,27724.92
4103354,Braganey,2008,6213,344.2,18.05,13289.72
4103354,Braganey,2009,6209,344.2,18.04,11935.9
4103354,Braganey,2010,5954,344.2,17.3,13211.96
4103354,Braganey,2011,5700,344.2,16.56,18764.74
4103354,Braganey,2012,5667,344.2,16.46,21895.18
