cod_ibge,municipio,ano,populacao,area_km2,densidade,pib_per_capita
2100055,Açailândia,2008,100017,5831.3,17.15,11300.01
2100055,Açailândia,2009,101130,5831.3,17.34,10529.04
2100055,Açailândia,2010,103192,5831.3,17.7,9807.32
2100055,Açailândia,2011,105255,5831.3,18.05,10626.76
2100055,Açailândia,2012,106422,5831.3,18.25,12210.73
2100055,Açailândia,2013,107790,5831.3,18.48,14540.03
2100055,Açailândia,2014,108765,5831.3,18.65,16367.43
2100055,Açailândia,2015,109685,5831.3,18.81,18373.16
2100055,Açailândia,2016,110543,5831.3,18.96,18107.83
2100055,Açailândia,2017,111339,5831.3,19.09,19784.06
2100055,Açailândia,2018,111757,5831.3,19.17,23255.61
2100055,Açailândia,2019,112445,5831.3,19.28,20939.52
2100055,Açailândia,2020,113121,5831.3,19.4,23555.38
2100055,Açailândia,2021,113783,5831.3,19.51,33647.67
2100055,Açailândia,2022,112691,5831.3,19.33,36817.08
2100055,Açailândia,2023,111598,5831.3,19.14,38299.63
2100055,Açailândia,2024,110506,5831.3,18.95,38678.1
2100055,Açailândia,2025,110611,5831.3,18.97,38641.38
2100055,Açailândia,2026,110611,5831.3,18.97,38641.38
2100105,Afonso Cunha,2008,5834,372.8,15.65,2283.34
2100105,Afonso Cunha,2009,5948,372.8,15.95,2692.5
2100105,Afonso Cunha,2010,5974,372.8,16.02,2887.01
2100105,Afonso Cunha,2011,6000,372.8,16.09,3513.5
2100105,Afonso Cunha,2012,6090,372.8,16.34,3830.87
2100105,Afonso Cunha,2013,6197,372.8,16.62,4486.85
2100105,Afonso Cunha,2014,6277,372.8,16.84,5681.54
2100105,Afonso Cunha,2015,6351,372.8,17.04,5681.0
2100105,Afonso Cunha,2016,6421,372.8,17.22,5510.05
2100105,Afonso Cunha,2017,6486,372.8,17.4,6915.05
2100105,Afonso Cunha,2018,6469,372.8,17.35,7934.77
2100105,Afonso Cunha,2019,6524,372.8,17.5,7994.33
2100105,Afonso Cunha,2020,6578,372.8,17.64,10925.21
2100105,Afonso Cunha,2021,6631,372.8,17.79,12826.42
2100105,Afonso Cunha,2022,6519,372.8,17.49,18023.16
2100105,Afonso Cunha,2023,6408,372.8,17.19,16476.44
2100105,Afonso Cunha,2024,6296,372.8,16.89,16769.54
2100105,Afonso Cunha,2025,6303,372.8,16.91,16750.91
2100105,Afonso Cunha,2026,6303,372.8,16.91,16750.91
2100154,Água Doce do Maranhão,2008,12213,444.4,27.48,2185.21
2100154,Água Doce do Maranhão,2009,12460,444.4,28.04,2360.51
2100154,Água Doce do Maranhão,2010,12093,444.4,27.21,2724.3
2100154,Água Doce do Maranhão,2011,11726,444.4,26.39,3528.91
2100154,Água Doce do Maranhão,2012,11865,444.4,26.7,3641.21
2100154,Água Doce do Maranhão,2013,12028,444.4,27.07,4414.53
2100154,Água Doce do Maranhão,2014,12146,444.4,27.33,4869.34
2100154,Água Doce do Maranhão,2015,12257,444.4,27.58,5289.88
2100154,Água Doce do Maranhão,2016,12360,444.4,27.81,5920.63
2100154,Água Doce do Maranhão,2017,12457,444.4,28.03,5874.13
2100154,Água Doce do Maranhão,2018,12488,444.4,28.1,6884.13
2100154,Água Doce do Maranhão,2019,12571,444.4,28.29,6734.47
2100154,Água Doce do Maranhão,2020,12652,444.4,28.47,7077.54
2100154,Água Doce do Maranhão,2021,12731,444.4,28.65,7983.82
2100154,Água Doce do Maranhão,2022,12636,444.4,28.43,9557.93
2100154,Água Doce do Maranhão,2023,12541,444.4,28.22,10425.48
2100154,Água Doce do Maranhão,2024,12446,444.4,28.01,10505.06
2100154,Água Doce do Maranhão,2025,12461,444.4,28.04,10492.42
2100154,Água Doce do Maranhão,2026,12461,444.4,28.04,10492.42
2100204,Alcântara,2008,21969,1173.1,18.73,2202.97
2100204,Alcântara,2009,22020,1173.1,18.77,2511.99
2100204,Alcântara,2010,21792,1173.1,18.58,2748.72
2100204,Alcântara,2011,21564,1173.1,18.38,3694.07
2100204,Alcântara,2012,21605,1173.1,18.42,6482.34
2100204,Alcântara,2013,21644,1173.1,18.45,4059.6
2100204,Alcântara,2014,21652,1173.1,18.46,4618.93
2100204,Alcântara,2015,21659,1173.1,18.46,4821.78
2100204,Alcântara,2016,21667,1173.1,18.47,5432.82
2100204,Alcântara,2017,21673,1173.1,18.47,5366.72
2100204,Alcântara,2018,22083,1173.1,18.82,5869.08
2100204,Alcântara,2019,22097,1173.1,18.84,5676.65
2100204,Alcântara,2020,22112,1173.1,18.85,5978.38
2100204,Alcântara,2021,22126,1173.1,18.86,6723.45
2100204,Alcântara,2022,21009,1173.1,17.91,7314.96
2100204,Alcântara,2023,19891,1173.1,16.96,8559.7
2100204,Alcântara,2024,18774,1173.1,16.0,9068.98
2100204,Alcântara,2025,18721,1173.1,15.96,9094.65
2100204,Alcântara,2026,18721,1173.1,15.96,9094.65
2100303,Aldeias Altas,2008,22328,1950.6,11.45,2828.51
2100303,Aldeias Altas,2009,22667,1950.6,11.62,3301.23
2100303,Aldeias Altas,2010,23506,1950.6,12.05,3302.9
2100303,Aldeias Altas,2011,24346,1950.6,12.48,3755.61
2100303,Aldeias Altas,2012,24726,1950.6,12.68,4132.13
2100303,Aldeias Altas,2013,25177,1950.6,12.91,4563.09
2100303,Aldeias Altas,2014,25509,1950.6,13.08,6664.98
2100303,Aldeias Altas,2015,25823,1950.6,13.24,8079.7
2100303,Aldeias Altas,2016,26115,1950.6,13.39,6498.22
2100303,Aldeias Altas,2017,26387,1950.6,13.53,6598.32
2100303,Aldeias Altas,2018,26302,1950.6,13.48,6882.18
2100303,Aldeias Altas,2019,26532,1950.6,13.6,7502.75
2100303,Aldeias Altas,2020,26757,1950.6,13.72,7895.13
2100303,Aldeias Altas,2021,26979,1950.6,13.83,9244.08
2100303,Aldeias Altas,2022,25913,1950.6,13.28,14254.24
2100303,Aldeias Altas,2023,24848,1950.6,12.74,13491.87
2100303,Aldeias Altas,2024,23782,1950.6,12.19,14096.63
2100303,Aldeias Altas,2025,23776,1950.6,12.19,14100.19
2100303,Aldeias Altas,2026,23776,1950.6,12.19,14100.19
2100402,Altamira do Maranhão,2008,7607,526.8,14.44,3787.04
2100402,Altamira do Maranhão,2009,7771,526.8,14.75,3353.75
2100402,Altamira do Maranhão,2010,9498,526.8,18.03,3205.94
2100402,Altamira do Maranhão,2011,11225,526.8,21.31,3226.46
2100402,Altamira do Maranhão,2012,11381,526.8,21.6,3482.12
2100402,Altamira do Maranhão,2013,11564,526.8,21.95,3965.67
2100402,Altamira do Maranhão,2014,11699,526.8,22.21,4694.42
2100402,Altamira do Maranhão,2015,11616,526.8,22.05,5173.64
2100402,Altamira do Maranhão,2016,10210,526.8,19.38,6150.93
2100402,Altamira do Maranhão,2017,8070,526.8,15.32,6981.16
2100402,Altamira do Maranhão,2018,8066,526.8,15.31,6994.67
2100402,Altamira do Maranhão,2019,8128,526.8,15.43,7210.51
2100402,Altamira do Maranhão,2020,8189,526.8,15.54,7518.99
2100402,Altamira do Maranhão,2021,8250,526.8,15.66,8668.12
2100402,Altamira do Maranhão,2022,7688,526.8,14.59,10319.46
2100402,Altamira do Maranhão,2023,7127,526.8,13.53,12395.54
2100402,Altamira do Maranhão,2024,6565,526.8,12.46,13456.66
2100402,Altamira do Maranhão,2025,6549,526.8,12.43,13489.54
2100402,Altamira do Maranhão,2026,6549,526.8,12.43,13489.54
2100436,Alto Alegre do Maranhão,2008,22676,394.4,57.49,3198.49
2100436,Alto Alegre do Maranhão,2009,22914,394.4,58.1,3647.99
2100436,Alto Alegre do Maranhão,2010,23942,394.4,60.7,4055.84
2100436,Alto Alegre do Maranhão,2011,24969,394.4,63.31,4382.51
2100436,Alto Alegre do Maranhão,2012,25326,394.4,64.21,5679.85
2100436,Alto Alegre do Maranhão,2013,25748,394.4,65.28,6400.65
2100436,Alto Alegre do Maranhão,2014,26056,394.4,66.06,7721.71
2100436,Alto Alegre do Maranhão,2015,26348,394.4,66.81,7677.93
2100436,Alto Alegre do Maranhão,2016,26619,394.4,67.49,8166.35
2100436,Alto Alegre do Maranhão,2017,26872,394.4,68.13,8184.91
2100436,Alto Alegre do Maranhão,2018,26839,394.4,68.05,10009.28
2100436,Alto Alegre do Maranhão,2019,27053,394.4,68.59,9693.82
2100436,Alto Alegre do Maranhão,2020,27858,394.4,70.63,8750.27
2100436,Alto Alegre do Maranhão,2021,28066,394.4,71.16,10800.19
2100436,Alto Alegre do Maranhão,2022,26892,394.4,68.18,13384.13
2100436,Alto Alegre do Maranhão,2023,25717,394.4,65.21,14710.66
2100436,Alto Alegre do Maranhão,2024,24543,394.4,62.23,15414.33
2100436,Alto Alegre do Maranhão,2025,24528,394.4,62.19,15423.76
2100436,Alto Alegre do Maranhão,2026,24528,394.4,62.19,15423.76
2100477,Alto Alegre do Pindaré,2008,32955,1884.3,17.49,2897.95
2100477,Alto Alegre do Pindaré,2009,33211,1884.3,17.63,2969.68
2100477,Alto Alegre do Pindaré,2010,32168,1884.3,17.07,3039.11
2100477,Alto Alegre do Pindaré,2011,31125,1884.3,16.52,3767.97
2100477,Alto Alegre do Pindaré,2012,31190,1884.3,16.55,4012.12
2100477,Alto Alegre do Pindaré,2013,31253,1884.3,16.59,4301.48
2100477,Alto Alegre do Pindaré,2014,31271,1884.3,16.6,4319.91
2100477,Alto Alegre do Pindaré,2015,31287,1884.3,16.6,4651.07
2100477,Alto Alegre do Pindaré,2016,31303,1884.3,16.61,5632.02
2100477,Alto Alegre do Pindaré,2017,31312,1884.3,16.62,5806.59
2100477,Alto Alegre do Pindaré,2018,31894,1884.3,16.93,5968.14
2100477,Alto Alegre do Pindaré,2019,31919,1884.3,16.94,6428.99
