cod_ibge,municipio,ano,populacao,area_km2,densidade,pib_per_capita
4100103,Abatiá,2008,7965,229.2,34.75,9321.91
4100103,Abatiá,2009,7928,229.2,34.59,8904.77
4100103,Abatiá,2010,7828,229.2,34.15,10328.82
4100103,Abatiá,2011,7727,229.2,33.71,15122.17
4100103,Abatiá,2012,7690,229.2,33.55,13173.08
4100103,Abatiá,2013,7881,229.2,34.38,15755.74
4100103,Abatiá,2014,7852,229.2,34.26,17091.44
4100103,Abatiá,2015,7823,229.2,34.13,18855.3
4100103,Abatiá,2016,7795,229.2,34.01,21147.15
4100103,Abatiá,2017,7768,229.2,33.89,22815.01
4100103,Abatiá,2018,7507,229.2,32.75,21529.24
4100103,Abatiá,2019,7457,229.2,32.53,25295.83
4100103,Abatiá,2020,7408,229.2,32.32,32358.13
4100103,Abatiá,2021,7360,229.2,32.11,30138.18
4100103,Abatiá,2022,7330,229.2,31.98,38540.65
4100103,Abatiá,2023,7301,229.2,31.85,40702.1
4100103,Abatiá,2024,7271,229.2,31.72,40870.03
4100103,Abatiá,2025,7233,229.2,31.56,41084.75
4100103,Abatiá,2026,7233,229.2,31.56,41084.75
4100202,Adrianópolis,2008,6875,1352.2,5.08,7505.31
4100202,Adrianópolis,2009,6856,1352.2,5.07,7950.41
4100202,Adrianópolis,2010,6592,1352.2,4.88,10330.1
4100202,Adrianópolis,2011,6328,1352.2,4.68,11681.26
4100202,Adrianópolis,2012,6281,1352.2,4.65,13408.06
4100202,Adrianópolis,2013,6416,1352.2,4.74,16508.57
4100202,Adrianópolis,2014,6374,1352.2,4.71,18070.29
4100202,Adrianópolis,2015,6333,1352.2,4.68,26807.99
4100202,Adrianópolis,2016,6293,1352.2,4.65,37954.08
4100202,Adrianópolis,2017,6254,1352.2,4.63,40715.86
4100202,Adrianópolis,2018,5983,1352.2,4.42,43677.42
4100202,Adrianópolis,2019,5919,1352.2,4.38,36329.95
4100202,Adrianópolis,2020,5857,1352.2,4.33,48750.9
4100202,Adrianópolis,2021,5797,1352.2,4.29,63628.43
4100202,Adrianópolis,2022,5974,1352.2,4.42,74117.17
4100202,Adrianópolis,2023,6150,1352.2,4.55,75955.93
4100202,Adrianópolis,2024,6327,1352.2,4.68,73831.04
4100202,Adrianópolis,2025,6319,1352.2,4.67,73924.51
4100202,Adrianópolis,2026,6319,1352.2,4.67,73924.51
4100301,Agudos do Sul,2008,8601,192.5,44.68,6734.22
4100301,Agudos do Sul,2009,8735,192.5,45.38,6748.71
4100301,Agudos do Sul,2010,8543,192.5,44.38,10198.53
4100301,Agudos do Sul,2011,8351,192.5,43.38,10445.34
4100301,Agudos do Sul,2012,8429,192.5,43.79,11428.76
4100301,Agudos do Sul,2013,8797,192.5,45.7,13644.31
4100301,Agudos do Sul,2014,8892,192.5,46.19,15832.1
4100301,Agudos do Sul,2015,8983,192.5,46.66,17228.88
4100301,Agudos do Sul,2016,9073,192.5,47.13,18468.53
4100301,Agudos do Sul,2017,9161,192.5,47.59,20515.56
4100301,Agudos do Sul,2018,9269,192.5,48.15,22087.6
4100301,Agudos do Sul,2019,9371,192.5,48.68,23278.95
4100301,Agudos do Sul,2020,9470,192.5,49.19,21915.52
4100301,Agudos do Sul,2021,9567,192.5,49.7,22672.1
4100301,Agudos do Sul,2022,9927,192.5,51.57,24031.93
4100301,Agudos do Sul,2023,10286,192.5,53.43,27161.97
4100301,Agudos do Sul,2024,10646,192.5,55.3,26243.47
4100301,Agudos do Sul,2025,10770,192.5,55.95,25941.32
4100301,Agudos do Sul,2026,10770,192.5,55.95,25941.32
4100400,Almirante Tamandaré,2008,96739,194.6,497.12,4762.06
4100400,Almirante Tamandaré,2009,97523,194.6,501.15,5838.17
4100400,Almirante Tamandaré,2010,100936,194.6,518.68,7003.46
4100400,Almirante Tamandaré,2011,104350,194.6,536.23,8002.19
4100400,Almirante Tamandaré,2012,105458,194.6,541.92,8902.6
4100400,Almirante Tamandaré,2013,110256,194.6,566.58,9989.27
4100400,Almirante Tamandaré,2014,111586,194.6,573.41,10892.77
4100400,Almirante Tamandaré,2015,112870,194.6,580.01,11163.72
4100400,Almirante Tamandaré,2016,114129,194.6,586.48,12227.09
4100400,Almirante Tamandaré,2017,115364,194.6,592.83,13204.37
4100400,Almirante Tamandaré,2018,117168,194.6,602.1,13167.71
4100400,Almirante Tamandaré,2019,118623,194.6,609.57,13735.31
4100400,Almirante Tamandaré,2020,120041,194.6,616.86,14209.18
4100400,Almirante Tamandaré,2021,121420,194.6,623.95,15946.76
4100400,Almirante Tamandaré,2022,122543,194.6,629.72,16929.36
4100400,Almirante Tamandaré,2023,123665,194.6,635.48,18134.64
4100400,Almirante Tamandaré,2024,124788,194.6,641.25,17971.44
4100400,Almirante Tamandaré,2025,125861,194.6,646.77,17818.23
4100400,Almirante Tamandaré,2026,125861,194.6,646.77,17818.23
4100459,Altamira do Paraná,2008,4101,387.7,10.58,8116.56
4100459,Altamira do Paraná,2009,3799,387.7,9.8,9123.72
4100459,Altamira do Paraná,2010,3950,387.7,10.19,9466.08
4100459,Altamira do Paraná,2011,4100,387.7,10.58,10262.2
4100459,Altamira do Paraná,2012,3900,387.7,10.06,12049.23
4100459,Altamira do Paraná,2013,3754,387.7,9.68,14742.41
4100459,Altamira do Paraná,2014,3544,387.7,9.14,16568.0
4100459,Altamira do Paraná,2015,3341,387.7,8.62,19081.41
4100459,Altamira do Paraná,2016,3143,387.7,8.11,23067.45
4100459,Altamira do Paraná,2017,2948,387.7,7.6,24474.9
4100459,Altamira do Paraná,2018,2209,387.7,5.7,33206.43
4100459,Altamira do Paraná,2019,1942,387.7,5.01,38643.67
4100459,Altamira do Paraná,2020,1682,387.7,4.34,49775.27
4100459,Altamira do Paraná,2021,1429,387.7,3.69,67324.7
4100459,Altamira do Paraná,2022,2134,387.7,5.5,49687.44
4100459,Altamira do Paraná,2023,2838,387.7,7.32,40700.85
4100459,Altamira do Paraná,2024,3543,387.7,9.14,32602.03
4100459,Altamira do Paraná,2025,3496,387.7,9.02,33040.33
4100459,Altamira do Paraná,2026,3496,387.7,9.02,33040.33
4100509,Altônia,2008,20638,663.1,31.12,5988.32
4100509,Altônia,2009,20764,663.1,31.31,6454.63
4100509,Altônia,2010,20690,663.1,31.2,7602.8
4100509,Altônia,2011,20615,663.1,31.09,8462.87
4100509,Altônia,2012,20711,663.1,31.23,9327.31
4100509,Altônia,2013,21489,663.1,32.41,11101.21
4100509,Altônia,2014,21619,663.1,32.6,12171.75
4100509,Altônia,2015,21744,663.1,32.79,13276.72
4100509,Altônia,2016,21867,663.1,32.98,15272.05
4100509,Altônia,2017,21988,663.1,33.16,16339.82
4100509,Altônia,2018,21933,663.1,33.08,17247.48
4100509,Altônia,2019,22056,663.1,33.26,16852.92
4100509,Altônia,2020,22176,663.1,33.44,18919.46
4100509,Altônia,2021,22293,663.1,33.62,20746.11
4100509,Altônia,2022,21112,663.1,31.84,20976.22
4100509,Altônia,2023,19931,663.1,30.06,27414.63
4100509,Altônia,2024,18750,663.1,28.28,29141.39
4100509,Altônia,2025,18634,663.1,28.1,29322.8
4100509,Altônia,2026,18634,663.1,28.1,29322.8
4100608,Alto Paraná,2008,13379,408.7,32.74,7109.95
4100608,Alto Paraná,2009,13435,408.7,32.87,7575.07
4100608,Alto Paraná,2010,13586,408.7,33.24,10190.12
4100608,Alto Paraná,2011,13736,408.7,33.61,11501.31
4100608,Alto Paraná,2012,13806,408.7,33.78,14684.49
4100608,Alto Paraná,2013,14334,408.7,35.07,17273.55
4100608,Alto Paraná,2014,14427,408.7,35.3,19093.57
4100608,Alto Paraná,2015,14518,408.7,35.52,18282.68
4100608,Alto Paraná,2016,14606,408.7,35.74,18445.3
4100608,Alto Paraná,2017,14693,408.7,35.95,26737.97
4100608,Alto Paraná,2018,14679,408.7,35.92,22430.62
4100608,Alto Paraná,2019,14770,408.7,36.14,21703.66
4100608,Alto Paraná,2020,14859,408.7,36.36,21082.85
4100608,Alto Paraná,2021,14945,408.7,36.57,29191.1
4100608,Alto Paraná,2022,14676,408.7,35.91,26688.2
4100608,Alto Paraná,2023,14407,408.7,35.25,39055.11
4100608,Alto Paraná,2024,14138,408.7,34.59,39798.2
4100608,Alto Paraná,2025,14183,408.7,34.7,39671.93
4100608,Alto Paraná,2026,14183,408.7,34.7,39671.93
4100707,Alto Piquiri,2008,10448,448.6,23.29,9739.38
4100707,Alto Piquiri,2009,10406,448.6,23.2,10044.88
