estrato,ano,mes,casos,total,populacao,anomalia_mm,dias_20mm,temp_media
cobertura alta,2008,1,165,3524,850680,-30.859,1.6,23.861290322580647
cobertura alta,2008,2,127,4745,850680,9.891333333333336,3.5,23.86241379310345
cobertura alta,2008,3,157,4388,850680,-63.45799999999999,0.7,23.07483870967742
cobertura alta,2008,4,114,4353,850680,33.10066666666667,2.4,20.743666666666666
cobertura alta,2008,5,118,4142,850680,-42.33833333333334,1.9,17.358387096774194
cobertura alta,2008,6,107,4429,850680,3.4596666666666693,2.4,15.328999999999999
cobertura alta,2008,7,111,4363,850680,-26.044,1.3,18.42064516129032
cobertura alta,2008,8,121,4812,850680,102.53966666666668,3.4,19.106451612903225
cobertura alta,2008,9,143,4606,850680,-71.48966666666666,1.4,18.20733333333333
cobertura alta,2008,10,143,4391,850680,32.97833333333334,2.7,22.456129032258065
cobertura alta,2008,11,106,4094,850680,62.13933333333333,4.8,23.021
cobertura alta,2008,12,124,3308,850680,-128.426,0.8,25.192903225806454
cobertura alta,2009,1,135,4692,863566,-10.738999999999995,1.7,23.666451612903224
cobertura alta,2009,2,110,4730,863566,-25.18866666666666,1.9,24.90607142857143
cobertura alta,2009,3,131,4910,863566,-65.46799999999999,0.3,24.949354838709677
cobertura alta,2009,4,138,4613,863566,-108.52933333333333,0.0,23.23933333333333
cobertura alta,2009,5,106,4524,863566,32.16166666666667,2.8,19.220967741935485
cobertura alta,2009,6,92,4445,863566,-38.24033333333333,1.4,14.776333333333335
cobertura alta,2009,7,75,4184,863566,41.016000000000005,1.3,15.326451612903224
cobertura alta,2009,8,50,4330,863566,-10.480333333333334,1.1,18.08516129032258
cobertura alta,2009,9,59,4557,863566,69.17033333333333,4.6,19.287
cobertura alta,2009,10,52,4130,863566,181.35833333333335,6.9,21.79967741935484
cobertura alta,2009,11,62,4395,863566,59.74933333333333,3.4,25.452666666666666
cobertura alta,2009,12,132,4252,863566,23.803999999999995,3.4,24.59258064516129
cobertura alta,2010,1,101,4163,828501,45.691,1.7,24.82774193548387
cobertura alta,2010,2,143,4219,828501,1.731333333333336,1.3,25.25642857142857
cobertura alta,2010,3,152,4482,828501,6.972000000000001,2.3,24.06709677419355
cobertura alta,2010,4,113,3954,828501,67.36066666666667,4.1,21.227666666666668
cobertura alta,2010,5,80,4799,828501,21.77166666666666,4.1,16.95741935483871
cobertura alta,2010,6,59,4041,828501,-87.10033333333334,1.2,17.318666666666665
cobertura alta,2010,7,74,4553,828501,26.565999999999995,2.8,16.80516129032258
cobertura alta,2010,8,87,5196,828501,-70.89033333333334,0.0,17.850967741935484
cobertura alta,2010,9,104,4506,828501,4.670333333333335,2.2,20.885666666666665
cobertura alta,2010,10,110,4482,828501,20.83833333333333,3.8,20.16193548387097
cobertura alta,2010,11,122,4734,828501,-53.91066666666667,1.7,21.631666666666668
cobertura alta,2010,12,131,4262,828501,81.064,4.4,23.630322580645164
cobertura alta,2011,1,112,4693,793438,-25.829,1.1,24.84225806451613
cobertura alta,2011,2,114,4106,793438,134.87133333333333,4.3,23.976785714285715
cobertura alta,2011,3,136,4377,793438,-0.6779999999999958,2.2,23.431612903225805
cobertura alta,2011,4,90,4647,793438,-24.68933333333333,0.1,21.51666666666667
cobertura alta,2011,5,68,4755,793438,-138.73833333333334,0.0,17.980645161290322
cobertura alta,2011,6,43,4887,793438,-13.250333333333327,2.4,15.926333333333332
cobertura alta,2011,7,72,5145,793438,57.54600000000001,3.5,16.88258064516129
cobertura alta,2011,8,44,4482,793438,96.33966666666666,4.3,17.493225806451612
cobertura alta,2011,9,57,4767,793438,-27.699666666666666,2.5,19.701666666666664
cobertura alta,2011,10,54,4685,793438,25.708333333333336,4.3,22.016129032258064
cobertura alta,2011,11,89,4594,793438,2.3493333333333313,3.0,22.262999999999998
cobertura alta,2011,12,114,4320,793438,-104.28599999999999,0.7,24.03483870967742
cobertura alta,2012,1,102,4933,798643,-24.069,2.0,24.32483870967742
cobertura alta,2012,2,112,4879,798643,-57.62866666666666,1.2,25.696206896551722
cobertura alta,2012,3,117,4597,798643,-73.848,0.8,23.55516129032258
cobertura alta,2012,4,91,4985,798643,102.44066666666667,4.4,21.301333333333332
cobertura alta,2012,5,89,5133,798643,-29.008333333333336,2.8,18.288064516129033
cobertura alta,2012,6,81,4818,798643,71.22966666666667,3.6,16.964666666666666
cobertura alta,2012,7,65,5030,798643,-19.264000000000003,0.9,16.419032258064515
cobertura alta,2012,8,69,5283,798643,-85.57033333333334,0.0,20.70967741935484
cobertura alta,2012,9,64,4948,798643,-101.56966666666666,0.5,21.942666666666668
cobertura alta,2012,10,76,4999,798643,-55.45166666666667,2.0,23.78451612903226
cobertura alta,2012,11,63,4628,798643,-70.73066666666666,0.3,24.250333333333334
cobertura alta,2012,12,81,4569,798643,-13.206,2.0,26.128387096774198
cobertura alta,2013,1,56,4367,830697,-60.45899999999999,2.1,24.573548387096775
cobertura alta,2013,2,88,4408,830697,86.27133333333333,4.2,24.01357142857143
cobertura alta,2013,3,55,4568,830697,98.742,3.2,22.59935483870968
cobertura alta,2013,4,50,4647,830697,33.80066666666666,3.7,20.557333333333332
cobertura alta,2013,5,41,4694,830697,18.691666666666663,2.5,18.70064516129032
cobertura alta,2013,6,35,4371,830697,240.47966666666667,7.6,17.052
cobertura alta,2013,7,44,4313,830697,-32.874,1.4,15.945483870967744
cobertura alta,2013,8,36,4720,830697,-50.06033333333334,0.0,16.461290322580645
cobertura alta,2013,9,50,4521,830697,4.520333333333338,3.1,19.852
cobertura alta,2013,10,32,4515,830697,-78.54166666666666,1.8,21.489032258064515
cobertura alta,2013,11,56,4428,830697,-26.47066666666667,2.7,23.40266666666667
cobertura alta,2013,12,56,4085,830697,-55.196000000000005,1.6,25.06967741935484
cobertura alta,2014,1,81,4317,837343,46.641000000000005,3.3,25.045806451612904
cobertura alta,2014,2,88,4377,837343,-72.83866666666667,1.1,25.648571428571426
cobertura alta,2014,3,61,4433,837343,71.912,3.0,22.91161290322581
cobertura alta,2014,4,86,4244,837343,37.04066666666667,2.7,21.546666666666667
cobertura alta,2014,5,62,4432,837343,-3.3483333333333376,3.8,18.297096774193548
cobertura alta,2014,6,64,4599,837343,156.33966666666666,4.5,17.614333333333335
cobertura alta,2014,7,38,4809,837343,25.576,3.4,16.748064516129034
cobertura alta,2014,8,55,4628,837343,-35.71033333333334,0.6,19.12548387096774
cobertura alta,2014,9,51,4859,837343,111.78033333333333,5.6,21.760333333333335
cobertura alta,2014,10,64,4674,837343,-142.67166666666668,0.2,24.530322580645162
cobertura alta,2014,11,58,4543,837343,-2.400666666666666,1.5,23.313333333333333
cobertura alta,2014,12,50,3892,837343,-41.896,1.0,24.28483870967742
cobertura alta,2015,1,46,4017,843761,-21.028999999999996,1.2,25.518064516129034
cobertura alta,2015,2,49,3488,843761,-24.43866666666667,0.8,24.286785714285713
cobertura alta,2015,3,41,3785,843761,5.7020000000000035,1.6,23.48290322580645
cobertura alta,2015,4,41,3943,843761,-40.769333333333336,0.2,21.675666666666665
cobertura alta,2015,5,33,4222,843761,-19.768333333333338,3.1,18.81967741935484
cobertura alta,2015,6,14,3991,843761,-32.040333333333336,2.3,18.282
cobertura alta,2015,7,14,4086,843761,291.416,6.8,17.115806451612904
cobertura alta,2015,8,20,4295,843761,-51.69033333333334,0.0,21.337096774193547
cobertura alta,2015,9,46,4246,843761,69.51033333333332,4.5,21.80466666666667
cobertura alta,2015,10,28,3944,843761,-44.01166666666667,1.8,23.534193548387098
cobertura alta,2015,11,37,3907,843761,205.74933333333334,6.9,23.18933333333333
cobertura alta,2015,12,35,3895,843761,152.704,5.1,24.17322580645161
cobertura alta,2016,1,47,3639,850051,6.701000000000002,2.8,25.281935483870967
cobertura alta,2016,2,53,3722,850051,105.65133333333333,5.1,24.893793103448274
cobertura alta,2016,3,28,3946,850051,8.132,2.7,22.731612903225805
cobertura alta,2016,4,31,4223,850051,-66.76933333333332,1.3,23.763333333333332
cobertura alta,2016,5,34,4131,850051,123.46166666666666,5.8,16.850967741935484
cobertura alta,2016,6,23,4116,850051,-73.18033333333334,0.9,14.180333333333333
cobertura alta,2016,7,37,4260,850051,-16.774,1.4,16.791290322580643
