ano,mes,dias_20mm,dias_50mm,max_diario_mm,temp_media
2007,1,2.171,0.457,43.931,24.598
2007,2,3.971,0.114,39.043,24.45
2007,3,0.971,0.0,21.857,24.731
2007,4,2.143,0.257,40.98,22.705
2007,5,1.943,0.0,30.737,17.234
2007,6,0.0,0.0,7.2,17.449
2007,7,1.686,0.029,34.294,15.043
2007,8,0.086,0.0,14.363,18.144
2007,9,0.0,0.0,8.657,23.467
2007,10,2.171,0.2,39.823,23.965
2007,11,3.2,0.057,39.414,22.526
2007,12,2.0,0.0,31.166,24.778
2008,1,1.571,0.114,34.031,24.016
2008,2,3.114,0.143,44.166,23.974
2008,3,0.229,0.0,16.646,23.202
2008,4,2.057,0.286,45.134,20.852
2008,5,1.886,0.429,47.209,17.405
2008,6,2.4,0.0,31.671,15.389
2008,7,1.229,0.0,27.346,18.48
2008,8,3.571,0.057,38.183,19.147
2008,9,1.514,0.0,32.84,18.23
2008,10,3.229,1.029,65.509,22.49
2008,11,4.829,0.543,54.597,23.109
2008,12,0.714,0.0,20.914,25.307
2009,1,1.886,0.0,26.746,23.786
2009,2,1.457,0.0,24.177,25.001
2009,3,0.143,0.0,14.231,25.072
2009,4,0.0,0.0,6.986,23.391
2009,5,3.0,0.514,48.466,19.303
2009,6,1.343,0.0,23.691,14.826
2009,7,1.257,0.2,37.18,15.37
2009,8,0.886,0.0,22.617,18.121
2009,9,4.2,0.171,45.129,19.315
2009,10,6.543,2.143,68.229,21.858
2009,11,2.829,0.143,39.209,25.538
2009,12,3.0,0.057,32.314,24.678
2010,1,1.857,0.714,56.76,24.934
2010,2,1.143,0.057,25.214,25.373
2010,3,1.886,0.086,36.9,24.148
2010,4,3.886,0.914,53.811,21.308
2010,5,3.914,0.171,44.723,17.003
2010,6,0.886,0.0,24.771,17.366
2010,7,2.8,0.0,29.609,16.869
2010,8,0.0,0.0,9.857,17.906
2010,9,2.2,0.857,51.037,20.959
2010,10,3.886,0.571,51.237,20.189
2010,11,1.4,0.0,25.566,21.663
2010,12,4.143,0.029,37.637,23.726
2011,1,0.686,0.0,20.126,24.93
2011,2,3.886,0.2,40.371,24.094
2011,3,1.914,0.0,33.111,23.538
2011,4,0.286,0.0,16.686,21.58
2011,5,0.0,0.0,7.283,18.031
2011,6,2.486,0.0,40.023,16.004
2011,7,3.514,0.0,39.391,16.932
2011,8,4.057,0.971,58.854,17.548
2011,9,2.543,0.543,41.297,19.713
2011,10,4.286,0.629,54.889,22.069
2011,11,3.0,0.771,56.606,22.329
2011,12,0.657,0.0,22.571,24.118
2012,1,1.829,0.971,62.443,24.426
2012,2,0.971,0.0,22.6,25.833
2012,3,0.743,0.0,21.706,23.663
2012,4,4.543,0.886,66.323,21.383
2012,5,2.686,0.0,37.74,18.336
2012,6,3.257,1.286,61.923,17.007
2012,7,0.743,0.0,18.574,16.469
2012,8,0.0,0.0,4.437,20.745
2012,9,0.514,0.0,22.531,21.98
2012,10,2.171,0.371,47.031,23.868
2012,11,0.143,0.0,15.409,24.377
2012,12,2.086,0.0,25.886,26.274
