municipio,ano,casos,populacao,densidade,pib_per_capita,estrato,IES0001,IAG0001,esgoto_pct,agua_pct,log_pib,log_dens,ano_c
Assis Chateaubriand,2008,237,33077,33.65,15027.9,cobertura baixa,48.17,90.73,48.17,90.73,9.617663752426312,3.5160130560907366,0
Assis Chateaubriand,2009,238,33023,33.59,12353.57,cobertura baixa,48.17,90.73,48.17,90.73,9.421700369109692,3.5142284036242013,1
Assis Chateaubriand,2010,270,33013,33.58,16868.51,cobertura baixa,48.17,90.73,48.17,90.73,9.733203849173439,3.5139306516493947,2
Assis Chateaubriand,2011,163,33003,33.57,18720.45,cobertura baixa,48.17,90.73,48.17,90.73,9.837371788204202,3.5136328109919437,3
Assis Chateaubriand,2012,199,32981,33.55,19424.85,cobertura baixa,48.17,90.73,48.17,90.73,9.874308453198312,3.5130368634176907,4
Assis Chateaubriand,2013,130,33988,34.58,26826.0,cobertura baixa,48.17,90.73,48.17,90.73,10.197126845462035,3.5432754802551445,5
Assis Chateaubriand,2014,101,34008,34.6,27072.69,cobertura baixa,48.17,90.73,48.17,90.73,10.2062807496698,3.543853682063679,6
Assis Chateaubriand,2015,108,34027,34.62,29225.47,cobertura baixa,48.17,90.73,48.17,90.73,10.282795868332425,3.544431549748063,7
Assis Chateaubriand,2016,112,34046,34.63,33930.51,cobertura baixa,48.17,90.73,48.17,90.73,10.432069888611379,3.5447203584143305,8
Assis Chateaubriand,2017,67,34064,34.65,33812.85,cobertura baixa,48.17,90.73,48.17,90.73,10.428596186736742,3.5452977256359124,9
Assis Chateaubriand,2018,62,33397,33.97,36800.16,cobertura baixa,48.17,90.73,48.17,90.73,10.513257471973658,3.5254777821724925,10
Assis Chateaubriand,2019,136,33362,33.94,35134.49,cobertura baixa,48.17,90.73,48.17,90.73,10.466938548080504,3.52459425980608,11
Assis Chateaubriand,2020,113,33340,33.92,41843.04,cobertura baixa,48.17,90.73,48.17,90.73,10.641680753843143,3.5240048109237025,12
Assis Chateaubriand,2021,94,33306,33.88,49038.01,cobertura baixa,48.17,90.73,48.17,90.73,10.800350990667653,3.522824869783854,13
