cod_ibge,municipio,pop_censo,pct_0a4,pct_20a59,pct_60mais
4102000,Assis Chateaubriand,36808,5.95,55.96,19.71
4103057,Boa Vista da Aparecida,7924,6.55,53.28,19.22
4103354,Braganey,4854,5.83,54.33,21.1
4103453,Cafelandia,18997,7.42,59.83,12.32
4104600,Capitao Leonidas Marques,14648,6.57,54.93,18.97
4104808,Cascavel,348051,6.64,59.84,13.98
4105300,Ceu Azul,11087,5.98,55.69,19.36
4106308,Corbelia,17470,6.38,56.22,18.01
4107157,Diamante D'Oeste,4557,6.08,52.51,18.81
4107538,Entre Rios do Oeste,4575,6.62,55.91,17.99
4108304,Foz do Iguacu,285415,6.41,59.49,13.19
4108809,Guaira,32097,7.0,54.88,16.6
4109757,Ibema,6218,7.04,54.15,17.14
4110656,Iracema do Oeste,2343,5.68,56.85,19.68
4112751,Jesuitas,10506,4.84,54.1,22.12
4113452,Lindoeste,5175,6.96,52.83,20.06
4114609,Marechal Candido Rondon,55836,6.51,57.98,16.82
4115606,Matelandia,18450,7.39,56.08,15.88
4115804,Medianeira,54369,6.61,59.49,14.52
4115853,Mercedes,5931,5.5,56.26,18.34
4116703,Nova Aurora,13765,6.23,55.34,19.16
4117453,Ouro Verde do Oeste,6785,6.69,56.65,16.29
4117909,Palotina,35011,6.95,57.31,15.87
4118451,Pato Bragado,5733,6.96,55.05,18.44
4120853,Quatro Pontes,4480,6.47,55.04,21.09
4121257,Ramilandia,4221,7.87,54.84,15.71
4123501,Santa Helena,25492,6.64,55.81,18.16
4123824,Santa Lucia,3644,6.31,52.0,21.82
4124020,Santa Tereza do Oeste,13174,8.01,56.58,13.93
4125456,Sao Jose das Palmeiras,3957,6.82,53.22,19.33
4125704,Sao Miguel do Iguacu,29122,6.94,55.78,16.88
4127403,Terra Roxa,18119,6.92,54.11,19.1
4127700,Toledo,150470,6.26,59.86,14.76
4127858,Tres Barras do Parana,11135,6.6,54.37,18.22
4128559,Vera Cruz do Oeste,8215,6.04,53.71,21.53
