cod_ibge,municipio,pop_censo,pct_0a4,pct_20a59,pct_60mais
2100105,Afonso Cunha,6144,9.21,48.68,10.61
2100204,Alcântara,18467,6.51,53.04,15.61
2100303,Aldeias Altas,23286,9.28,48.5,11.25
2100402,Altamira do Maranhão,6447,7.85,53.82,13.85
2100436,Alto Alegre do Maranhão,24048,8.18,52.11,11.76
2100477,Alto Alegre do Pindaré,25710,8.61,49.26,12.28
2100501,Alto Parnaíba,11109,7.98,51.98,12.82
2100550,Amapá do Maranhão,7170,9.0,50.92,10.0
2100600,Amarante do Maranhão,37085,10.24,48.32,10.19
2100709,Anajatuba,25322,6.92,54.71,14.15
2100808,Anapurus,13793,7.97,53.19,11.27
2100832,Apicum-Açu,17519,7.95,54.88,10.49
2100873,Araguanã,11181,8.01,51.67,12.51
2100907,Araioses,39052,7.22,53.22,14.07
2100956,Arame,25517,9.39,48.98,10.06
2101004,Arari,29472,7.23,54.7,13.6
2101103,Axixá,11790,6.79,53.14,12.85
2100055,Açailândia,106550,7.68,56.03,10.67
2101202,Bacabal,103711,7.37,54.81,12.7
2101251,Bacabeira,16966,7.96,54.78,10.39
2101301,Bacuri,16290,8.02,52.79,13.95
2101350,Bacurituba,5252,6.66,51.41,17.38
2101400,Balsas,101767,8.29,56.56,8.55
2101608,Barra do Corda,84532,8.2,52.1,12.85
2101707,Barreirinhas,65589,8.27,52.16,9.24
2101509,Barão de Grajaú,18984,7.21,56.2,13.81
2101772,Bela Vista do Maranhão,11750,8.67,51.46,12.25
2101731,Belágua,8460,10.3,48.32,7.4
2101806,Benedito Leite,5469,7.24,53.43,15.69
2101905,Bequimão,19584,6.02,53.83,17.05
2101939,Bernardo do Mearim,5840,8.49,53.48,15.02
2101970,Boa Vista do Gurupi,7574,9.02,48.79,10.15
2102002,Bom Jardim,33100,8.65,49.97,12.22
2102036,Bom Jesus das Selvas,28599,9.59,49.73,9.86
2102077,Bom Lugar,12212,7.52,53.97,13.36
2102101,Brejo,34120,7.75,51.23,12.9
2102150,Brejo de Areia,9218,8.52,52.74,10.26
2102200,Buriti,29685,9.42,48.9,11.33
2102309,Buriti Bravo,22455,7.71,49.73,14.71
2102325,Buriticupu,55499,8.77,50.45,10.48
2102358,Buritirana,12918,7.94,49.92,14.71
2102374,Cachoeira Grande,9732,8.8,49.72,10.14
2102408,Cajapió,10121,6.57,53.36,12.9
2102507,Cajari,16412,8.32,50.14,12.6
2102556,Campestre do Maranhão,12301,8.28,53.85,11.66
2102705,Cantanhede,24303,7.85,53.91,10.84
2102754,Capinzal do Norte,11374,7.27,52.74,14.14
2102804,Carolina,24062,7.15,52.31,15.27
2102903,Carutapera,24238,8.62,53.35,10.42
2103000,Caxias,156973,7.19,53.59,13.82
2103109,Cedral,10208,6.2,55.53,15.08
2103125,Central do Maranhão,7094,8.61,50.25,13.28
2103174,Centro Novo do Maranhão,16267,10.48,49.89,8.96
2103158,Centro do Guilherme,12342,10.41,48.78,8.4
2103208,Chapadinha,81386,8.0,51.7,11.99
2103257,Cidelândia,12878,8.22,51.55,13.85
2103307,Codó,114275,7.62,51.54,13.9
2103406,Coelho Neto,41658,7.45,50.97,13.85
2103505,Colinas,40316,7.85,53.1,12.3
2103554,Conceição do Lago-Açu,14915,8.9,50.73,10.0
2103604,Coroatá,59566,7.69,51.94,13.77
2103703,Cururupu,31558,7.48,52.96,15.63
2102606,Cândido Mendes,19932,8.74,52.47,11.02
2103752,Davinópolis,14404,7.98,54.64,11.86
2103802,Dom Pedro,23053,7.06,54.14,13.91
2103901,Duque Bacelar,10223,8.14,51.07,11.66
2104008,Esperantinópolis,18311,7.55,52.98,14.73
2104057,Estreito,33294,7.82,54.82,11.21
2104073,Feira Nova do Maranhão,8048,7.95,52.0,13.53
2104081,Fernando Falcão,10873,11.38,48.98,8.53
2104099,Formosa da Serra Negra,17719,7.4,53.74,11.54
2104107,Fortaleza dos Nogueiras,12640,7.52,54.7,11.78
2104206,Fortuna,16976,8.18,49.26,14.49
2104305,Godofredo Viana,10186,8.94,55.31,9.46
2104404,Gonçalves Dias,17206,7.65,51.23,14.86
2104503,Governador Archer,10231,7.31,53.12,14.38
2104552,Governador Edison Lobão,18411,8.07,53.94,11.56
2104602,Governador Eugênio Barros,13930,8.23,50.68,15.09
2104628,Governador Luiz Rocha,7063,7.6,52.26,13.76
2104651,Governador Newton Bello,10713,7.36,54.46,9.82
2104677,Governador Nunes Freire,23128,8.63,51.73,10.6
2104800,Grajaú,73872,9.27,51.54,9.91
2104701,Graça Aranha,6023,7.59,51.5,16.14
2104909,Guimarães,10290,6.4,53.42,17.94
2105005,Humberto de Campos,25680,8.76,49.44,10.6
2105104,Icatu,24794,7.84,51.96,11.74
2105203,Igarapé Grande,10231,7.15,53.65,15.35
2105153,Igarapé do Meio,13974,8.63,50.34,11.03
2105302,Imperatriz,273110,7.14,58.52,11.36
2105351,Itaipava do Grajaú,13828,10.0,49.19,10.19
2105401,Itapecuru Mirim,60440,8.2,52.68,11.54
2105427,Itinga do Maranhão,22513,7.72,55.24,12.19
2105450,Jatobá,7471,8.03,52.79,12.26
2105476,Jenipapo dos Vieiras,17076,12.02,46.9,8.02
2105609,Joselândia,14924,8.54,51.07,13.67
2105500,João Lisboa,24709,7.46,53.68,12.55
2105658,Junco do Maranhão,5146,8.65,50.78,12.26
2105906,Lago Verde,14769,8.41,50.51,12.19
2105708,Lago da Pedra,44403,7.89,53.0,12.87
2105807,Lago do Junco,9506,7.36,52.8,13.88
2105948,Lago dos Rodrigues,8758,6.99,53.64,15.54
2105963,Lagoa Grande do Maranhão,11411,9.18,51.19,10.48
2105922,Lagoa do Mato,10572,7.49,53.12,13.55
2105989,Lajeado Novo,7057,8.03,52.69,13.79
2106003,Lima Campos,11297,7.14,52.47,15.77
2106102,Loreto,11597,6.59,53.38,13.57
2106201,Luís Domingues,7161,8.41,54.75,11.16
2106300,Magalhães de Almeida,13807,6.99,53.15,13.84
2106326,Maracaçumé,21149,10.02,50.21,9.68
2106359,Marajá do Sena,7027,9.07,51.64,7.87
2106375,Maranhãozinho,13761,9.69,49.44,9.29
2106409,Mata Roma,17090,8.45,50.75,11.81
2106508,Matinha,22034,7.42,52.6,13.33
2106607,Matões,32174,8.49,49.17,13.49
2106631,Matões do Norte,17432,5.66,56.88,8.2
2106672,Milagres do Maranhão,8818,7.98,50.43,12.28
2106706,Mirador,21030,7.78,52.33,13.15
2106755,Miranda do Norte,23864,5.89,57.43,10.43
2106805,Mirinzal,13978,7.76,53.63,13.58
2107001,Montes Altos,9106,7.87,52.17,13.8
2106904,Monção,27751,8.99,48.95,11.74
2107100,Morros,18554,8.24,51.29,10.81
2107209,Nina Rodrigues,14176,7.72,54.41,8.65
2107258,Nova Colinas,5021,7.59,51.11,12.91
2107308,Nova Iorque,4320,6.64,51.23,17.82
2107357,Nova Olinda do Maranhão,14314,7.99,51.26,12.97
2107407,Olho d'Água das Cunhãs,17919,6.66,55.48,14.35
2107456,Olinda Nova do Maranhão,13577,7.65,52.4,12.74
2107605,Palmeirândia,21059,7.82,53.68,12.8
2107704,Paraibano,18274,7.51,52.47,15.17
2107803,Parnarama,31250,8.54,50.12,13.89
2107902,Passagem Franca,17220,7.79,51.39,14.19
2108009,Pastos Bons,18802,7.6,52.85,13.35
2108058,Paulino Neves,17056,9.33,49.85,10.58
2108108,Paulo Ramos,20341,8.17,51.62,12.47
2107506,Paço do Lumiar,145643,7.36,59.92,9.76
2108207,Pedreiras,37050,6.12,55.16,15.21
2108256,Pedro do Rosário,24320,9.07,49.7,11.01
2108306,Penalva,32511,9.36,49.33,12.46
2108405,Peri Mirim,11108,6.2,54.4,15.62
2108454,Peritoró,20479,7.78,50.99,12.8
2108504,Pindaré-Mirim,31429,7.63,52.15,12.37
