cod_ibge,municipio,pop_censo,pct_0a4,pct_20a59,pct_60mais
4100103,Abatiá,7241,6.49,53.14,21.52
4100202,Adrianópolis,6256,6.35,51.87,19.37
4100301,Agudos do Sul,10233,6.9,54.38,17.34
4100400,Almirante Tamandaré,119825,6.83,58.3,11.27
4100459,Altamira do Paraná,3590,5.82,54.9,19.33
4100608,Alto Paraná,13909,6.75,54.19,18.6
4128625,Alto Paraíso,3055,6.71,52.9,19.05
4100707,Alto Piquiri,9727,6.6,54.47,19.41
4100509,Altônia,18742,5.62,53.1,22.98
4100806,Alvorada do Sul,10326,5.6,53.7,23.81
4100905,Amaporã,4762,6.53,56.32,15.56
4101002,Ampére,19620,7.12,56.67,16.58
4101051,Anahy,2918,5.76,54.56,21.21
4101101,Andirá,19878,5.39,54.77,21.46
4101200,Antonina,18091,5.98,52.41,20.93
4101309,Antônio Olinto,7018,5.56,54.17,21.23
4101408,Apucarana,130134,5.9,56.85,17.74
4101507,Arapongas,119138,6.04,57.97,16.55
4101606,Arapoti,25777,6.99,56.47,14.59
4101655,Arapuã,3527,5.16,53.59,22.68
4101705,Araruna,14485,6.16,56.4,18.54
4101804,Araucária,151666,6.64,59.67,11.87
4101853,Ariranha do Ivaí,2329,4.85,53.67,23.06
4101903,Assaí,13797,4.96,52.77,23.12
4102000,Assis Chateaubriand,36808,5.95,55.96,19.71
4102109,Astorga,25475,5.98,54.61,21.04
4102208,Atalaia,3980,4.77,56.38,22.79
4102307,Balsa Nova,13395,6.21,57.25,16.02
4102406,Bandeirantes,31273,5.85,54.91,20.58
4102505,Barbosa Ferraz,10795,5.41,53.23,23.27
4102703,Barra do Jacaré,2814,5.61,53.62,24.41
4102604,Barracão,9759,6.61,55.06,17.55
4102752,Bela Vista da Caroba,4031,5.83,53.11,21.41
4102802,Bela Vista do Paraíso,14833,5.78,53.8,21.96
4102901,Bituruna,15533,7.74,55.16,14.76
4103008,Boa Esperança,4558,5.86,55.31,20.58
4103024,Boa Esperança do Iguaçu,2455,5.66,55.03,19.35
4103040,Boa Ventura de São Roque,6378,6.96,56.82,15.35
4103057,Boa Vista da Aparecida,7924,6.55,53.28,19.22
4103107,Bocaiúva do Sul,13299,7.17,54.7,15.12
4103156,Bom Jesus do Sul,3980,6.46,53.07,20.95
4103206,Bom Sucesso,6581,6.75,54.57,17.84
4103222,Bom Sucesso do Sul,3202,6.4,53.62,21.77
4103305,Borrazópolis,7735,4.78,54.08,23.41
4103354,Braganey,4854,5.83,54.33,21.1
4103370,Brasilândia do Sul,3708,6.63,56.9,17.64
4103404,Cafeara,2627,5.67,58.77,18.08
4103453,Cafelândia,18997,7.42,59.83,12.32
4103479,Cafezal do Sul,4473,6.28,53.52,22.47
4103503,Califórnia,8710,6.46,54.42,18.97
4103602,Cambará,23212,6.22,54.63,20.41
4103800,Cambira,9460,6.31,55.77,18.59
4103701,Cambé,107208,5.76,57.85,17.33
4104006,Campina Grande do Sul,47825,6.74,58.33,12.7
4103909,Campina da Lagoa,15723,6.2,54.61,19.28
4103958,Campina do Simão,3936,7.01,55.08,16.13
4104055,Campo Bonito,4027,6.16,55.25,18.48
4104204,Campo Largo,136327,5.96,59.31,14.79
4104253,Campo Magro,30160,6.34,59.82,13.08
4104303,Campo Mourão,99432,6.34,58.2,16.22
4104105,Campo do Tenente,7508,7.73,54.52,13.89
4104428,Candói,14973,7.33,55.21,14.87
4104451,Cantagalo,10933,6.63,53.36,17.29
4104501,Capanema,20481,6.31,55.46,20.07
4104600,Capitão Leônidas Marques,14648,6.57,54.93,18.97
4104659,Carambeí,23283,7.61,56.59,11.64
4104709,Carlópolis,16905,6.63,54.27,19.09
4104808,Cascavel,348051,6.64,59.84,13.98
4104907,Castro,73075,7.15,55.87,13.66
4105003,Catanduvas,10446,6.77,56.39,16.5
4105102,Centenário do Sul,10832,5.97,55.86,20.14
4105201,Cerro Azul,16134,6.79,54.7,16.34
4105409,Chopinzinho,21085,6.81,55.6,17.38
4105508,Cianorte,79527,6.34,57.49,17.26
4105607,Cidade Gaúcha,11467,6.87,57.01,15.97
4105706,Clevelândia,15070,7.24,54.0,17.66
4105805,Colombo,232212,6.37,59.45,12.38
4105904,Colorado,22896,5.69,57.17,20.37
4106001,Congonhinhas,8320,6.21,52.62,20.19
4106100,Conselheiro Mairinck,3461,6.07,53.8,20.6
4106209,Contenda,19128,6.5,56.75,15.69
4106308,Corbélia,17470,6.38,56.22,18.01
4106407,Cornélio Procópio,45206,5.02,55.78,22.05
4106456,Coronel Domingos Soares,5649,8.0,55.35,13.38
4106506,Coronel Vivida,23331,6.28,54.73,19.43
4106555,Corumbataí do Sul,3760,5.82,53.09,22.71
4106803,Cruz Machado,15978,5.57,56.89,17.54
4106571,Cruzeiro do Iguaçu,4133,6.12,54.85,18.82
4106605,Cruzeiro do Oeste,23831,5.71,58.79,17.59
4106704,Cruzeiro do Sul,4494,5.87,55.27,20.03
4106852,Cruzmaltina,2892,5.98,53.25,22.89
4106902,Curitiba,1773718,4.79,59.66,18.14
4107009,Curiúva,13647,6.59,55.33,17.82
4104402,Cândido de Abreu,15244,6.19,54.25,18.66
4105300,Céu Azul,11087,5.98,55.69,19.36
4107157,Diamante D'Oeste,4557,6.08,52.51,18.81
4107108,Diamante do Norte,5142,4.53,55.31,22.73
4107124,Diamante do Sul,3171,6.78,54.9,17.79
4107207,Dois Vizinhos,44869,6.83,58.8,14.85
4107256,Douradina,9161,6.44,56.64,17.5
4107306,Doutor Camargo,6327,5.58,54.54,23.5
4128633,Doutor Ulysses,5697,7.18,55.33,15.46
4107504,Engenheiro Beltrão,12454,5.31,54.9,21.76
4107538,Entre Rios do Oeste,4575,6.62,55.91,17.99
4107405,Enéas Marques,5999,5.77,54.06,20.77
4107520,Esperança Nova,1849,4.81,52.89,24.66
4107546,Espigão Alto do Iguaçu,4797,7.67,51.55,18.22
4107553,Farol,3039,5.3,54.39,20.27
4107603,Faxinal,16389,6.74,54.09,17.8
4107652,Fazenda Rio Grande,148873,7.45,59.78,8.66
4107736,Fernandes Pinheiro,6255,6.3,55.65,15.96
4107751,Figueira,8062,5.37,55.17,20.28
4107850,Flor da Serra do Sul,4364,6.14,54.7,19.84
4107801,Floraí,4792,5.24,51.88,26.88
4107900,Floresta,10458,7.12,57.5,14.9
4108007,Florestópolis,11446,6.29,56.57,17.6
4108106,Flórida,2652,6.49,53.62,20.51
4108205,Formosa do Oeste,7635,6.16,53.07,24.92
4108304,Foz do Iguaçu,285415,6.41,59.49,13.19
4108452,Foz do Jordão,4926,7.15,53.69,16.5
4108320,Francisco Alves,8116,7.28,53.14,18.51
4108403,Francisco Beltrão,96666,6.47,58.95,15.24
4107702,Fênix,4492,6.26,53.45,22.62
4108502,General Carneiro,11062,7.96,54.64,14.76
4108551,Godoy Moreira,2977,4.67,49.78,26.47
4108601,Goioerê,28437,5.87,55.72,19.39
4108650,Goioxim,6566,7.28,53.94,15.72
4108700,Grandes Rios,5641,6.54,54.09,21.29
4108908,Guairaçá,6587,7.1,55.34,17.25
4108957,Guamiranga,7856,6.34,56.29,16.61
4109005,Guapirama,4626,6.4,56.01,16.8
4109104,Guaporema,2191,5.16,55.86,21.09
4109203,Guaraci,4748,5.75,55.01,21.08
4109302,Guaraniaçu,13735,6.57,53.45,20.59
4109401,Guarapuava,182093,7.02,57.3,14.38
4109500,Guaraqueçaba,7430,7.24,53.51,17.2
4109609,Guaratuba,42062,6.16,53.07,19.32
4108809,Guaíra,32097,7.0,54.88,16.6
4109658,Honório Serpa,4941,7.06,54.08,18.28
4109708,Ibaiti,28830,6.49,55.26,18.33
4109757,Ibema,6218,7.04,54.15,17.14
4109807,Ibiporã,51603,5.72,56.22,18.37
4109906,Icaraíma,8991,6.51,54.6,20.45
4110003,Iguaraçu,5338,6.39,58.0,16.0
4110052,Iguatu,2144,4.85,54.66,21.78
4110078,Imbaú,14249,8.03,55.49,14.08
4110102,Imbituva,29924,7.33,57.19,13.53
4110300,Inajá,2536,5.76,53.51,21.61
4110409,Indianópolis,4448,5.71,53.87,20.91
4110201,Inácio Martins,9670,7.04,54.53,15.17
4110508,Ipiranga,14142,7.13,56.7,14.42
4110607,Iporã,15746,6.74,53.54,20.89
4110656,Iracema do Oeste,2343,5.68,56.85,19.68
4110706,Irati,59250,5.93,57.4,16.93
4110805,Iretama,10684,6.11,54.71,19.29
4110904,Itaguajé,4481,6.47,52.87,20.0
4110953,Itaipulândia,11485,7.14,56.07,15.32
4111001,Itambaracá,5908,5.55,53.0,22.94
4111100,Itambé,6111,5.43,56.44,20.5
4111209,Itapejara d'Oeste,12344,6.85,55.4,18.04
4111258,Itaperuçu,31217,7.59,58.39,9.88
4111308,Itaúna do Sul,3572,6.05,52.49,20.6
4111506,Ivaiporã,32720,5.34,55.65,20.79
4111605,Ivatuba,2708,4.69,53.99,23.78
4111555,Ivaté,6831,5.49,54.82,20.13
4111407,Ivaí,13229,7.12,55.27,15.68
4111704,Jaboti,5427,5.6,54.38,19.9
4111803,Jacarezinho,40375,6.8,55.41,17.84
4111902,Jaguapitã,15122,6.82,57.21,15.61
4112009,Jaguariaíva,35141,7.11,56.8,13.81
4112108,Jandaia do Sul,21408,5.68,56.35,20.69
4112207,Janiópolis,5870,5.2,53.95,23.32
4112306,Japira,4972,6.48,53.3,20.15
4112405,Japurá,9144,5.05,55.15,22.68
4112504,Jardim Alegre,12004,5.52,53.7,22.16
4112603,Jardim Olinda,1343,5.36,57.56,15.26
4112702,Jataizinho,11813,6.45,55.63,17.62
4112751,Jesuítas,10506,4.84,54.1,22.12
4112801,Joaquim Távora,11945,6.83,55.72,17.3
4112900,Jundiaí do Sul,3333,6.66,51.76,22.77
4112959,Juranda,7771,6.64,56.89,17.71
4113007,Jussara,6690,5.89,56.05,18.61
4113106,Kaloré,4582,5.06,53.69,24.36
4113205,Lapa,45003,5.65,57.11,17.24
4113254,Laranjal,5600,7.8,54.43,14.54
4113304,Laranjeiras do Sul,32227,7.07,55.76,16.29
4113403,Leópolis,3752,5.52,52.64,24.31
4113429,Lidianópolis,3938,5.43,52.74,23.64
4113452,Lindoeste,5175,6.96,52.83,20.06
4113502,Loanda,23225,6.41,56.69,16.83
4113601,Lobato,4601,5.09,56.73,19.43
4113700,Londrina,555965,5.43,57.85,18.34
4113734,Luiziana,6690,6.65,54.77,17.09
4113759,Lunardelli,4872,4.91,52.83,24.32
4113809,Lupionópolis,4813,5.67,56.08,19.05
4113908,Mallet,13428,6.03,57.36,17.71
4114005,Mamborê,13452,5.74,55.5,19.79
4114203,Mandaguari,36716,6.16,56.54,19.07
4114104,Mandaguaçu,31457,7.38,58.47,13.94
4114302,Mandirituba,27439,6.45,54.93,16.99
4114351,Manfrinópolis,2770,6.06,53.97,19.53
4114401,Mangueirinha,16603,7.03,55.13,15.77
4114500,Manoel Ribas,14240,7.04,54.47,16.36
4114609,Marechal Cândido Rondon,55836,6.51,57.98,16.82
4114708,Maria Helena,5865,5.75,55.79,20.82
4114807,Marialva,41851,6.28,56.68,17.77
4115002,Marilena,7253,6.26,55.18,18.86
4115101,Mariluz,9847,6.62,55.51,17.17
4114906,Marilândia do Sul,8677,6.18,54.26,19.05
4115200,Maringá,409657,5.29,59.35,18.31
4115358,Maripá,6555,5.45,54.81,19.04
4115309,Mariópolis,6371,6.86,52.93,21.05
4115408,Marmeleiro,15901,6.79,55.61,18.06
4115457,Marquinho,4504,6.82,53.33,18.67
4115507,Marumbi,4699,5.81,55.27,20.49
4115606,Matelândia,18450,7.39,56.08,15.88
4115705,Matinhos,39259,5.84,53.68,20.26
4115739,Mato Rico,3267,6.31,54.06,20.51
4115754,Mauá da Serra,9383,7.9,56.68,12.49
4115804,Medianeira,54369,6.61,59.49,14.52
4115853,Mercedes,5931,5.5,56.26,18.34
4115903,Mirador,2238,7.64,53.49,17.25
4116000,Miraselva,1966,4.78,53.66,22.89
4116059,Missal,11064,5.72,54.59,21.27
4116109,Moreira Sales,11175,5.52,53.12,23.28
4116208,Morretes,18309,6.39,54.64,18.36
4116307,Munhoz de Melo,3951,6.15,54.26,21.51
4116406,Nossa Senhora das Graças,3669,5.78,56.01,19.65
4116505,Nova Aliança do Ivaí,1323,5.67,55.33,18.37
4116604,Nova América da Colina,3280,5.34,55.4,19.63
4116703,Nova Aurora,13765,6.23,55.34,19.16
4116802,Nova Cantu,6790,6.16,54.99,19.19
4116901,Nova Esperança,26585,5.75,55.72,20.04
4116950,Nova Esperança do Sudoeste,5597,6.41,55.8,17.24
4117008,Nova Fátima,7225,4.98,54.38,21.4
4117057,Nova Laranjeiras,12074,8.41,52.08,15.28
4117107,Nova Londrina,12923,6.27,56.42,17.81
4117206,Nova Olímpia,5833,5.57,55.37,20.9
4117255,Nova Prata do Iguaçu,12699,7.21,55.63,16.77
4117214,Nova Santa Bárbara,4184,6.41,54.47,19.43
4117222,Nova Santa Rosa,8322,6.3,55.74,19.13
4117271,Nova Tebas,6848,5.64,53.1,21.41
4117297,Novo Itacolomi,3125,5.38,55.78,21.41
4117305,Ortigueira,24192,7.16,54.38,16.05
4117404,Ourizona,3187,4.93,54.75,22.62
4117453,Ouro Verde do Oeste,6785,6.69,56.65,16.29
4117503,Paiçandu,45962,7.12,58.45,14.19
4117602,Palmas,48247,7.77,55.83,12.3
4117701,Palmeira,33855,6.41,57.44,15.99
4117800,Palmital,13033,6.92,53.73,17.54
4117909,Palotina,35011,6.95,57.31,15.87
4118105,Paranacity,9557,6.05,56.65,16.97
4118204,Paranaguá,145829,6.98,57.26,13.67
4118303,Paranapoema,2398,5.75,55.55,17.26
4118402,Paranavaí,92001,6.18,56.18,18.13
4118006,Paraíso do Norte,13245,6.83,57.29,16.04
4118451,Pato Bragado,5733,6.96,55.05,18.44
4118501,Pato Branco,91836,6.42,58.74,15.03
4118600,Paula Freitas,5666,5.68,55.84,18.39
4118709,Paulo Frontin,6343,5.01,57.02,19.23
4118808,Peabiru,13346,6.38,54.82,18.53
4118857,Perobal,7189,6.91,56.1,17.86
4119152,Pinhais,127019,5.39,60.08,14.34
4119251,Pinhal de São Bento,2761,5.94,54.15,19.3
4119202,Pinhalão,6566,5.85,54.39,20.45
4119301,Pinhão,29886,7.98,54.42,13.9
4119509,Piraquara,118730,6.65,60.28,10.06
4119400,Piraí do Sul,23651,6.71,54.98,15.97
4119608,Pitanga,33567,6.61,56.37,16.35
4119657,Pitangueiras,3046,5.94,56.34,18.22
4119103,Piên,13655,7.4,57.32,14.02
4119707,Planaltina do Paraná,4070,6.66,55.23,18.89
4119806,Planalto,14374,6.25,55.13,21.43
4119905,Ponta Grossa,358371,6.35,57.61,14.69
4119954,Pontal do Paraná,30425,5.78,53.48,21.63
4120002,Porecatu,11624,4.96,55.63,22.34
4120101,Porto Amazonas,4098,5.81,56.59,16.79
4120150,Porto Barreiro,3110,6.56,53.79,20.32
4120200,Porto Rico,3182,5.91,58.64,15.71
4120309,Porto Vitória,3562,6.18,54.07,19.09
4120333,Prado Ferreira,3709,6.74,55.32,18.28
4120358,Pranchita,5737,6.61,54.05,20.57
