municipio,ano,faixa,casos,internacoes_total,populacao,densidade,pib_per_capita,esgoto_inadequado_pct,fossa_septica_pct,agua_poco_raso_pct,agua_rede_pct,pct_0a4,pct_20a59,pct_60mais,pop_faixa,inadeq_10pp,septica_10pp,poco_10pp,log_pib,log_dens,ano_c,log_int_pc
Afonso Cunha,2008,0a4,6,24,5834,15.65,2283.34,73.57,20.07,8.12,61.15,9.21,48.68,10.61,537.3114,7.356999999999999,2.007,0.8119999999999999,7.733394562291928,2.750470916986162,0,-3.1085239843588455
Afonso Cunha,2008,20a59,0,73,5834,15.65,2283.34,73.57,20.07,8.12,61.15,9.21,48.68,10.61,2839.9912,7.356999999999999,2.007,0.8119999999999999,7.733394562291928,2.750470916986162,0,-3.6610967914105106
Afonso Cunha,2008,60mais,2,9,5834,15.65,2283.34,73.57,20.07,8.12,61.15,9.21,48.68,10.61,618.9874,7.356999999999999,2.007,0.8119999999999999,7.733394562291928,2.750470916986162,0,-4.230860339729247
Afonso Cunha,2009,0a4,4,10,5948,15.95,2692.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,547.8108000000001,7.356999999999999,2.007,0.8119999999999999,7.898225409030544,2.7694588292308535,1,-4.003344878865124
Afonso Cunha,2009,20a59,1,69,5948,15.95,2692.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,2895.4864000000002,7.356999999999999,2.007,0.8119999999999999,7.898225409030544,2.7694588292308535,1,-3.7368018851140214
Afonso Cunha,2009,60mais,2,10,5948,15.95,2692.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,631.0828,7.356999999999999,2.007,0.8119999999999999,7.898225409030544,2.7694588292308535,1,-4.1448519812238
Afonso Cunha,2010,0a4,2,15,5974,16.02,2887.01,73.57,20.07,8.12,61.15,9.21,48.68,10.61,550.2054,7.356999999999999,2.007,0.8119999999999999,7.967976643460192,2.7738379416402132,2,-3.602241461952969
Afonso Cunha,2010,20a59,0,91,5974,16.02,2887.01,73.57,20.07,8.12,61.15,9.21,48.68,10.61,2908.1432,7.356999999999999,2.007,0.8119999999999999,7.967976643460192,2.7738379416402132,2,-3.46441057439044
Afonso Cunha,2010,60mais,1,13,5974,16.02,2887.01,73.57,20.07,8.12,61.15,9.21,48.68,10.61,633.8414,7.356999999999999,2.007,0.8119999999999999,7.967976643460192,2.7738379416402132,2,-3.886849407952319
Afonso Cunha,2011,0a4,3,9,6000,16.09,3513.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,552.6000000000001,7.356999999999999,2.007,0.8119999999999999,8.164367970632252,2.7781979610042917,3,-4.117409835153097
Afonso Cunha,2011,20a59,2,96,6000,16.09,3513.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,2920.8,7.356999999999999,2.007,0.8119999999999999,8.164367970632252,2.7781979610042917,3,-3.415264638873591
Afonso Cunha,2011,60mais,0,22,6000,16.09,3513.5,73.57,20.07,8.12,61.15,9.21,48.68,10.61,636.6,7.356999999999999,2.007,0.8119999999999999,8.164367970632252,2.7781979610042917,3,-3.3650990614896767
Afonso Cunha,2012,0a4,5,16,6090,16.34,3830.87,73.57,20.07,8.12,61.15,9.21,48.68,10.61,560.8890000000001,7.356999999999999,2.007,0.8119999999999999,8.250847210426114,2.7936160894318567,4,-3.556934302743286
Afonso Cunha,2012,20a59,7,107,6090,16.34,3830.87,73.57,20.07,8.12,61.15,9.21,48.68,10.61,2964.612,7.356999999999999,2.007,0.8119999999999999,8.250847210426114,2.7936160894318567,4,-3.3216726083732717
Afonso Cunha,2012,60mais,2,14,6090,16.34,3830.87,73.57,20.07,8.12,61.15,9.21,48.68,10.61,646.149,7.356999999999999,2.007,0.8119999999999999,8.250847210426114,2.7936160894318567,4,-3.8319727977264844
Afonso Cunha,2013,0a4,2,17,6197,16.62,4486.85,73.57,20.07,8.12,61.15,9.21,48.68,10.61,570.7437000000001,7.356999999999999,2.007,0.8119999999999999,8.408906175508566,2.810606789427302,5,-3.513726903185016
Afonso Cunha,2013,20a59,3,80,6197,16.62,4486.85,73.57,20.07,8.12,61.15,9.21,48.68,10.61,3016.6996,7.356999999999999,2.007,0.8119999999999999,8.408906175508566,2.810606789427302,5,-3.629892030419461
Afonso Cunha,2013,60mais,1,20,6197,16.62,4486.85,73.57,20.07,8.12,61.15,9.21,48.68,10.61,657.5017,7.356999999999999,2.007,0.8119999999999999,8.408906175508566,2.810606789427302,5,-3.4927150760459167
Afonso Cunha,2014,0a4,9,64,6277,16.84,5681.54,73.57,20.07,8.12,61.15,9.21,48.68,10.61,578.1117,7.356999999999999,2.007,0.8119999999999999,8.644977601727543,2.8237570088141806,6,-2.2008840192369843
Afonso Cunha,2014,20a59,3,215,6277,16.84,5681.54,73.57,20.07,8.12,61.15,9.21,48.68,10.61,3055.6436,7.356999999999999,2.007,0.8119999999999999,8.644977601727543,2.8237570088141806,6,-2.654107492321104
Afonso Cunha,2014,60mais,2,77,6277,16.84,5681.54,73.57,20.07,8.12,61.15,9.21,48.68,10.61,665.9897,7.356999999999999,2.007,0.8119999999999999,8.644977601727543,2.8237570088141806,6,-2.157468783101648
Afonso Cunha,2015,0a4,18,110,6351,17.04,5681.0,73.57,20.07,8.12,61.15,9.21,48.68,10.61,584.9271000000001,7.356999999999999,2.007,0.8119999999999999,8.644882552557126,2.8355635214011694,7,-1.6710068582896829
Afonso Cunha,2015,20a59,12,204,6351,17.04,5681.0,73.57,20.07,8.12,61.15,9.21,48.68,10.61,3091.6668,7.356999999999999,2.007,0.8119999999999999,8.644882552557126,2.8355635214011694,7,-2.7183456480899935
Afonso Cunha,2015,60mais,7,111,6351,17.04,5681.0,73.57,20.07,8.12,61.15,9.21,48.68,10.61,673.8411,7.356999999999999,2.007,0.8119999999999999,8.644882552557126,2.8355635214011694,7,-1.8034641251284411
Afonso Cunha,2016,0a4,17,96,6421,17.22,5510.05,73.57,20.07,8.12,61.15,9.21,48.68,10.61,591.3741000000001,7.356999999999999,2.007,0.8119999999999999,8.614328976515951,2.8460714989995846,8,-1.8181006206053365
Afonso Cunha,2016,20a59,30,270,6421,17.22,5510.05,73.57,20.07,8.12,61.15,9.21,48.68,10.61,3125.7428,7.356999999999999,2.007,0.8119999999999999,8.614328976515951,2.8460714989995846,8,-2.4490052709269086
