cod_ibge,municipio,lat,lon
2100105,Afonso Cunha,-4.21949,-43.23576
2100204,Alcântara,-2.38587,-44.52541
2100303,Aldeias Altas,-4.57858,-43.48046
2100402,Altamira do Maranhão,-4.1731,-45.51359
2100436,Alto Alegre do Maranhão,-4.2622,-44.38145
2100477,Alto Alegre do Pindaré,-3.84243,-46.00512
2100501,Alto Parnaíba,-9.51001,-46.11112
2100550,Amapá do Maranhão,-1.70685,-45.87666
2100600,Amarante do Maranhão,-5.45946,-46.72573
2100709,Anajatuba,-3.2457,-44.56685
2100808,Anapurus,-3.55823,-43.10172
2100832,Apicum-Açu,-1.49108,-45.0896
2100873,Araguanã,-2.99727,-45.78059
2100907,Araioses,-2.92277,-42.06251
2100956,Arame,-5.07667,-45.90367
2101004,Arari,-3.59866,-44.76715
2101103,Axixá,-2.85006,-44.10445
2100055,Açailândia,-4.7034,-47.22731
2101202,Bacabal,-4.01859,-44.71126
2101251,Bacabeira,-2.88697,-44.35375
2101301,Bacuri,-1.66053,-45.12212
2101350,Bacurituba,-2.68113,-44.68967
2101400,Balsas,-8.45594,-46.49981
2101608,Barra do Corda,-5.3709,-45.06167
2101707,Barreirinhas,-2.78646,-42.97727
2101509,Barão de Grajaú,-6.61984,-43.21827
2101772,Bela Vista do Maranhão,-3.78647,-45.26016
2101731,Belágua,-3.05087,-43.49986
2101806,Benedito Leite,-7.12437,-44.58929
2101905,Bequimão,-2.41254,-44.79085
2101939,Bernardo do Mearim,-4.67721,-44.64619
2101970,Boa Vista do Gurupi,-1.75466,-46.20701
2102002,Bom Jardim,-3.84124,-46.24204
2102036,Bom Jesus das Selvas,-4.49746,-46.70059
2102077,Bom Lugar,-4.27476,-45.06529
2102101,Brejo,-3.67813,-42.89949
2102150,Brejo de Areia,-4.32857,-45.64332
2102200,Buriti,-3.94625,-42.8854
2102309,Buriti Bravo,-5.75072,-43.81027
2102325,Buriticupu,-4.36966,-46.36371
2102358,Buritirana,-5.51174,-47.05828
2102374,Cachoeira Grande,-3.06628,-43.99559
2102408,Cajapió,-2.88079,-44.62379
2102507,Cajari,-3.39252,-45.02103
2102556,Campestre do Maranhão,-6.15923,-47.25057
2102705,Cantanhede,-3.66541,-44.25228
2102754,Capinzal do Norte,-4.69068,-44.3261
2102804,Carolina,-7.5211,-47.15357
2102903,Carutapera,-1.22078,-45.98181
2103000,Caxias,-4.86332,-43.42266
2103109,Cedral,-1.98822,-44.60093
2103125,Central do Maranhão,-2.24888,-44.82984
2103174,Centro Novo do Maranhão,-3.13529,-46.70374
2103158,Centro do Guilherme,-2.40618,-46.06115
2103208,Chapadinha,-3.73724,-43.48096
2103257,Cidelândia,-5.0509,-47.8766
2103307,Codó,-4.74743,-43.96571
2103406,Coelho Neto,-4.19476,-43.15455
2103505,Colinas,-5.97844,-44.25905
2103554,Conceição do Lago-Açu,-3.73701,-44.80618
2103604,Coroatá,-4.1159,-44.20206
2103703,Cururupu,-1.59736,-44.80833
2102606,Cândido Mendes,-1.5408,-45.64407
2103752,Davinópolis,-5.57908,-47.29505
2103802,Dom Pedro,-5.05633,-44.43891
2103901,Duque Bacelar,-4.10578,-43.04111
2104008,Esperantinópolis,-4.92345,-44.81032
2104057,Estreito,-6.75914,-47.16694
2104073,Feira Nova do Maranhão,-6.98111,-46.64791
2104081,Fernando Falcão,-6.25202,-45.33259
2104099,Formosa da Serra Negra,-6.65594,-46.11723
