municipio,ano,faixa,casos,obitos,populacao,log_pib,log_dens,ano_c,esgoto_pct,esgoto_inadequado_pct,fossa_septica_pct,pct_0a4,pct_20a59,pct_60mais,pop_faixa,inadeq_10pp,septica_10pp
Abatiá,2008,0a4,45,0,7965,9.140122822305518,3.548179572010801,0,23.11,27.49,26.68,6.49,53.14,21.52,516.9285,2.7489999999999997,2.668
Abatiá,2008,20a59,40,0,7965,9.140122822305518,3.548179572010801,0,23.11,27.49,26.68,6.49,53.14,21.52,4232.601,2.7489999999999997,2.668
Abatiá,2008,60mais,17,0,7965,9.140122822305518,3.548179572010801,0,23.11,27.49,26.68,6.49,53.14,21.52,1714.068,2.7489999999999997,2.668
Abatiá,2009,0a4,18,0,7928,9.094342367203796,3.5435646229490776,1,23.11,27.49,26.68,6.49,53.14,21.52,514.5272,2.7489999999999997,2.668
Abatiá,2009,20a59,23,0,7928,9.094342367203796,3.5435646229490776,1,23.11,27.49,26.68,6.49,53.14,21.52,4212.9392,2.7489999999999997,2.668
Abatiá,2009,60mais,11,0,7928,9.094342367203796,3.5435646229490776,1,23.11,27.49,26.68,6.49,53.14,21.52,1706.1056,2.7489999999999997,2.668
Abatiá,2010,0a4,10,0,7828,9.242693325191992,3.530762586016799,2,23.11,27.49,26.68,6.49,53.14,21.52,508.0372,2.7489999999999997,2.668
Abatiá,2010,20a59,39,0,7828,9.242693325191992,3.530762586016799,2,23.11,27.49,26.68,6.49,53.14,21.52,4159.7991999999995,2.7489999999999997,2.668
Abatiá,2010,60mais,8,0,7828,9.242693325191992,3.530762586016799,2,23.11,27.49,26.68,6.49,53.14,21.52,1684.5856,2.7489999999999997,2.668
Abatiá,2011,0a4,14,0,7727,9.623917157954246,3.5177945292459696,3,23.11,27.49,26.68,6.49,53.14,21.52,501.4823,2.7489999999999997,2.668
Abatiá,2011,20a59,47,0,7727,9.623917157954246,3.5177945292459696,3,23.11,27.49,26.68,6.49,53.14,21.52,4106.1278,2.7489999999999997,2.668
Abatiá,2011,60mais,17,0,7727,9.623917157954246,3.5177945292459696,3,23.11,27.49,26.68,6.49,53.14,21.52,1662.8504,2.7489999999999997,2.668
Abatiá,2012,0a4,9,0,7690,9.48593063223955,3.5130368634176907,4,23.11,27.49,26.68,6.49,53.14,21.52,499.081,2.7489999999999997,2.668
Abatiá,2012,20a59,90,0,7690,9.48593063223955,3.5130368634176907,4,23.11,27.49,26.68,6.49,53.14,21.52,4086.466,2.7489999999999997,2.668
Abatiá,2012,60mais,34,0,7690,9.48593063223955,3.5130368634176907,4,23.11,27.49,26.68,6.49,53.14,21.52,1654.888,2.7489999999999997,2.668
Abatiá,2013,0a4,15,0,7881,9.664960022304475,3.5374749999547035,5,23.11,27.49,26.68,6.49,53.14,21.52,511.4769,2.7489999999999997,2.668
Abatiá,2013,20a59,44,0,7881,9.664960022304475,3.5374749999547035,5,23.11,27.49,26.68,6.49,53.14,21.52,4187.9634,2.7489999999999997,2.668
Abatiá,2013,60mais,22,0,7881,9.664960022304475,3.5374749999547035,5,23.11,27.49,26.68,6.49,53.14,21.52,1695.9912,2.7489999999999997,2.668
Abatiá,2014,0a4,14,0,7852,9.746333032361033,3.5339784928959737,6,23.11,27.49,26.68,6.49,53.14,21.52,509.5948,2.7489999999999997,2.668
Abatiá,2014,20a59,28,0,7852,9.746333032361033,3.5339784928959737,6,23.11,27.49,26.68,6.49,53.14,21.52,4172.5527999999995,2.7489999999999997,2.668
Abatiá,2014,60mais,12,0,7852,9.746333032361033,3.5339784928959737,6,23.11,27.49,26.68,6.49,53.14,21.52,1689.7504000000001,2.7489999999999997,2.668
Abatiá,2015,0a4,15,0,7823,9.844549320464846,3.530176762918616,7,23.11,27.49,26.68,6.49,53.14,21.52,507.7127,2.7489999999999997,2.668
Abatiá,2015,20a59,58,0,7823,9.844549320464846,3.530176762918616,7,23.11,27.49,26.68,6.49,53.14,21.52,4157.1422,2.7489999999999997,2.668
Abatiá,2015,60mais,31,0,7823,9.844549320464846,3.530176762918616,7,23.11,27.49,26.68,6.49,53.14,21.52,1683.5096,2.7489999999999997,2.668
Abatiá,2016,0a4,5,0,7795,9.959260423621538,3.526654599019104,8,23.11,27.49,26.68,6.49,53.14,21.52,505.89549999999997,2.7489999999999997,2.668
