cod_ibge,municipio,lat,lon
4100103,Abatiá,-23.30105,-50.31956
4100202,Adrianópolis,-24.77125,-48.8028
4100301,Agudos do Sul,-26.04057,-49.31774
4100400,Almirante Tamandaré,-25.29587,-49.32888
4100459,Altamira do Paraná,-24.81762,-52.69915
4100608,Alto Paraná,-23.0683,-52.30815
4128625,Alto Paraíso,-23.56013,-53.78595
4100707,Alto Piquiri,-24.12777,-53.35557
4100509,Altônia,-23.89953,-53.91393
4100806,Alvorada do Sul,-22.82019,-51.27905
4100905,Amaporã,-23.14202,-52.84256
4101002,Ampére,-25.91734,-53.48988
4101051,Anahy,-24.63899,-53.13503
4101101,Andirá,-23.04525,-50.276
4101200,Antonina,-25.28765,-48.70836
4101309,Antônio Olinto,-25.96112,-50.13913
4101408,Apucarana,-23.57545,-51.43185
4101507,Arapongas,-23.44526,-51.44253
4101606,Arapoti,-24.06468,-50.03068
4101655,Arapuã,-24.32024,-51.80694
4101705,Araruna,-23.95943,-52.58583
4101804,Araucária,-25.61753,-49.45713
4101853,Ariranha do Ivaí,-24.35186,-51.53495
4101903,Assaí,-23.40996,-50.87429
4102000,Assis Chateaubriand,-24.40801,-53.54577
4102109,Astorga,-23.24921,-51.70799
4102208,Atalaia,-23.12621,-52.05384
4102307,Balsa Nova,-25.51035,-49.68464
4102406,Bandeirantes,-23.15454,-50.34599
4102505,Barbosa Ferraz,-24.08559,-52.06462
4102703,Barra do Jacaré,-23.11167,-50.16015
4102604,Barracão,-26.24116,-53.53817
4102752,Bela Vista da Caroba,-25.87318,-53.62672
4102802,Bela Vista do Paraíso,-22.97079,-51.27939
4102901,Bituruna,-26.17615,-51.57849
4103008,Boa Esperança,-24.24993,-52.74613
4103024,Boa Esperança do Iguaçu,-25.63899,-53.23065
4103040,Boa Ventura de São Roque,-24.84855,-51.5651
4103057,Boa Vista da Aparecida,-25.43608,-53.41792
4103107,Bocaiúva do Sul,-25.10146,-48.87623
4103156,Bom Jesus do Sul,-26.15884,-53.55396
4103206,Bom Sucesso,-23.69585,-51.82041
4103222,Bom Sucesso do Sul,-26.07876,-52.84883
4103305,Borrazópolis,-23.93798,-51.60296
4103354,Braganey,-24.79051,-53.08391
4103370,Brasilândia do Sul,-24.20392,-53.55905
4103404,Cafeara,-22.80502,-51.71758
4103453,Cafelândia,-24.6868,-53.34936
4103479,Cafezal do Sul,-23.91343,-53.59378
4103503,Califórnia,-23.66437,-51.33079
4103602,Cambará,-23.00795,-50.08424
4103800,Cambira,-23.62885,-51.56585
4103701,Cambé,-23.18514,-51.30025
4104006,Campina Grande do Sul,-25.16176,-48.82242
4103909,Campina da Lagoa,-24.60459,-52.80257
4103958,Campina do Simão,-25.09087,-51.783
4104055,Campo Bonito,-24.88747,-53.00832
4104204,Campo Largo,-25.27459,-49.60289
4104253,Campo Magro,-25.27651,-49.46831
4104303,Campo Mourão,-24.11677,-52.40808
4104105,Campo do Tenente,-25.9644,-49.6592
4104428,Candói,-25.52432,-52.03126
4104451,Cantagalo,-25.27997,-52.14077
4104501,Capanema,-25.62457,-53.7895
4104600,Capitão Leônidas Marques,-25.45429,-53.60809
4104659,Carambeí,-24.90372,-50.14993
4104709,Carlópolis,-23.45533,-49.70498
4104808,Cascavel,-25.04203,-53.3919
4104907,Castro,-24.81772,-49.86138
4105003,Catanduvas,-25.25973,-53.16676
4105102,Centenário do Sul,-22.81358,-51.5429
4105201,Cerro Azul,-24.8684,-49.29016
