municipio,ponto_rio,ponto_grupo,iqa,papel,criterio,estacao_codigo,estacao_nome,estacao_rio,estacao_lat,estacao_lon,distancia_km
Barueri,Rio Tiete,Tietetes / SOS Mata Atlantica,Pessima,qualidade_agua,mesmo municipio,62327000,CÓR. SÃO JOÃO DO BARUERI (alça de retorno),RIO SÃO JOÃO,-23.5056,-46.8608,
Biritiba-Mirim,Rio Tiete,Observando os Rios - Biritiba,Boa,qualidade_agua,mesmo rio,62076000,RES. PONTE NOVA (corpo central do Res.),RIO TIETÊ,-23.5813888888889,-45.9622222222222,
Biritiba-Mirim,Rio Tiete,Observando os Rios - Biritiba,Boa,qualidade_agua,mesmo rio,62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),RIO TIETÊ,-23.565,-46.0158,
Biritiba-Mirim,Rio Tiete,Observando os Rios - Biritiba,Boa,qualidade_agua,mesmo rio,62085200,RIO TIETÊ (Captação SABESP Biritiba-Mirim),RIO TIETÊ,-23.5652777777778,-46.0244444444444,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,fluviometrica,mesmo rio,62155150,RIO TIETÊ (barragem da Penha),RIO TIETÊ,-23.5014,-46.5419,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),RIO TIETÊ,-23.4767,-46.4997,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62155150,RIO TIETÊ (barragem da Penha),RIO TIETÊ,-23.5014,-46.5419,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62155200,RIO TIETÊ (ponte Av. Aricanduva),RIO TIETÊ,-23.5253,-46.5592,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),RIO TIETÊ,-23.5217,-46.6311,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62155400,RIO TIETÊ (Ponte dos Remédios),RIO TIETÊ,-23.5197,-46.7464,
Guarulhos,Rio Tiete,Observando o Tiete - Guarulhos,Regular,qualidade_agua,mesmo rio,62156000,RESERV. DE TANQUE GRANDE (Guarulhos),RIO TIETÊ,-23.3772,-46.4597,
Itaquaquecetuba,Rio Tiete,Observando os Rios - Itaquaquecetuba,Ruim,qualidade_agua,mesmo rio,62153800,PONTE ESTRADA SANTA IZABEL,RIO TIETÊ,-23.4719,-46.3472,
