cod_ibge,ano,municipio,populacao
4102000,2008,Assis Chateaubriand,33077
4102000,2009,Assis Chateaubriand,33023
4102000,2010,Assis Chateaubriand,33013
4102000,2011,Assis Chateaubriand,33003
4102000,2012,Assis Chateaubriand,32981
4102000,2013,Assis Chateaubriand,33988
4102000,2014,Assis Chateaubriand,34008
4102000,2015,Assis Chateaubriand,34027
4102000,2016,Assis Chateaubriand,34046
4102000,2017,Assis Chateaubriand,34064
4102000,2018,Assis Chateaubriand,33397
4102000,2019,Assis Chateaubriand,33362
4102000,2020,Assis Chateaubriand,33340
4102000,2021,Assis Chateaubriand,33306
4102000,2022,Assis Chateaubriand,34906
4102000,2023,Assis Chateaubriand,36505
4102000,2024,Assis Chateaubriand,38105
4102000,2025,Assis Chateaubriand,38357
4102000,2026,Assis Chateaubriand,38357
4103057,2008,Boa Vista da Aparecida,7972
4103057,2009,Boa Vista da Aparecida,7919
4103057,2010,Boa Vista da Aparecida,7896
4103057,2011,Boa Vista da Aparecida,7872
4103057,2012,Boa Vista da Aparecida,7834
4103057,2013,Boa Vista da Aparecida,8028
4103057,2014,Boa Vista da Aparecida,7998
4103057,2015,Boa Vista da Aparecida,7968
4103057,2016,Boa Vista da Aparecida,7939
4103057,2017,Boa Vista da Aparecida,7911
4103057,2018,Boa Vista da Aparecida,7643
4103057,2019,Boa Vista da Aparecida,7591
4103057,2020,Boa Vista da Aparecida,7540
4103057,2021,Boa Vista da Aparecida,7524
4103057,2022,Boa Vista da Aparecida,7694
4103057,2023,Boa Vista da Aparecida,7864
4103057,2024,Boa Vista da Aparecida,8034
4103057,2025,Boa Vista da Aparecida,8023
4103057,2026,Boa Vista da Aparecida,8023
4103354,2008,Braganey,6213
4103354,2009,Braganey,6209
4103354,2010,Braganey,5954
4103354,2011,Braganey,5700
4103354,2012,Braganey,5667
4103354,2013,Braganey,5799
4103354,2014,Braganey,5770
4103354,2015,Braganey,5742
4103354,2016,Braganey,5714
4103354,2017,Braganey,5687
4103354,2018,Braganey,5473
4103354,2019,Braganey,5427
4103354,2020,Braganey,5382
4103354,2021,Braganey,5338
4103354,2022,Braganey,5159
4103354,2023,Braganey,4981
4103354,2024,Braganey,4802
4103354,2025,Braganey,4745
4103354,2026,Braganey,4745
4103453,2008,Cafelandia,13776
4103453,2009,Cafelandia,14034
4103453,2010,Cafelandia,14484
4103453,2011,Cafelandia,14933
4103453,2012,Cafelandia,15194
4103453,2013,Cafelandia,16020
4103453,2014,Cafelandia,16321
4103453,2015,Cafelandia,16611
4103453,2016,Cafelandia,16896
4103453,2017,Cafelandia,17175
4103453,2018,Cafelandia,17775
4103453,2019,Cafelandia,18120
4103453,2020,Cafelandia,18456
4103453,2021,Cafelandia,18783
4103453,2022,Cafelandia,19137
4103453,2023,Cafelandia,19490
4103453,2024,Cafelandia,19844
4103453,2025,Cafelandia,20145
4103453,2026,Cafelandia,20145
4104600,2008,Capitao Leonidas Marques,13929
4104600,2009,Capitao Leonidas Marques,13870
4104600,2010,Capitao Leonidas Marques,14443
4104600,2011,Capitao Leonidas Marques,15016
4104600,2012,Capitao Leonidas Marques,15060
4104600,2013,Capitao Leonidas Marques,15592
4104600,2014,Capitao Leonidas Marques,15659
