cod_ibge,ano,municipio,populacao
2100105,2008,Afonso Cunha,5834
2100105,2009,Afonso Cunha,5948
2100105,2010,Afonso Cunha,5974
2100105,2011,Afonso Cunha,6000
2100105,2012,Afonso Cunha,6090
2100105,2013,Afonso Cunha,6197
2100105,2014,Afonso Cunha,6277
2100105,2015,Afonso Cunha,6351
2100105,2016,Afonso Cunha,6421
2100105,2017,Afonso Cunha,6486
2100105,2018,Afonso Cunha,6469
2100105,2019,Afonso Cunha,6524
2100105,2020,Afonso Cunha,6578
2100105,2021,Afonso Cunha,6631
2100105,2022,Afonso Cunha,6519
2100105,2023,Afonso Cunha,6408
2100105,2024,Afonso Cunha,6296
2100105,2025,Afonso Cunha,6303
2100105,2026,Afonso Cunha,6303
2100204,2008,Alcântara,21969
2100204,2009,Alcântara,22020
2100204,2010,Alcântara,21792
2100204,2011,Alcântara,21564
2100204,2012,Alcântara,21605
2100204,2013,Alcântara,21644
2100204,2014,Alcântara,21652
2100204,2015,Alcântara,21659
2100204,2016,Alcântara,21667
2100204,2017,Alcântara,21673
2100204,2018,Alcântara,22083
2100204,2019,Alcântara,22097
2100204,2020,Alcântara,22112
2100204,2021,Alcântara,22126
2100204,2022,Alcântara,21009
2100204,2023,Alcântara,19891
2100204,2024,Alcântara,18774
2100204,2025,Alcântara,18721
2100204,2026,Alcântara,18721
2100303,2008,Aldeias Altas,22328
2100303,2009,Aldeias Altas,22667
2100303,2010,Aldeias Altas,23506
2100303,2011,Aldeias Altas,24346
2100303,2012,Aldeias Altas,24726
2100303,2013,Aldeias Altas,25177
2100303,2014,Aldeias Altas,25509
2100303,2015,Aldeias Altas,25823
2100303,2016,Aldeias Altas,26115
2100303,2017,Aldeias Altas,26387
2100303,2018,Aldeias Altas,26302
2100303,2019,Aldeias Altas,26532
2100303,2020,Aldeias Altas,26757
2100303,2021,Aldeias Altas,26979
2100303,2022,Aldeias Altas,25913
2100303,2023,Aldeias Altas,24848
2100303,2024,Aldeias Altas,23782
2100303,2025,Aldeias Altas,23776
2100303,2026,Aldeias Altas,23776
2100402,2008,Altamira do Maranhão,7607
2100402,2009,Altamira do Maranhão,7771
2100402,2010,Altamira do Maranhão,9498
2100402,2011,Altamira do Maranhão,11225
2100402,2012,Altamira do Maranhão,11381
2100402,2013,Altamira do Maranhão,11564
2100402,2014,Altamira do Maranhão,11699
2100402,2015,Altamira do Maranhão,11616
2100402,2016,Altamira do Maranhão,10210
2100402,2017,Altamira do Maranhão,8070
2100402,2018,Altamira do Maranhão,8066
2100402,2019,Altamira do Maranhão,8128
2100402,2020,Altamira do Maranhão,8189
2100402,2021,Altamira do Maranhão,8250
2100402,2022,Altamira do Maranhão,7688
2100402,2023,Altamira do Maranhão,7127
2100402,2024,Altamira do Maranhão,6565
2100402,2025,Altamira do Maranhão,6549
2100402,2026,Altamira do Maranhão,6549
2100436,2008,Alto Alegre do Maranhão,22676
2100436,2009,Alto Alegre do Maranhão,22914
2100436,2010,Alto Alegre do Maranhão,23942
2100436,2011,Alto Alegre do Maranhão,24969
2100436,2012,Alto Alegre do Maranhão,25326
2100436,2013,Alto Alegre do Maranhão,25748
2100436,2014,Alto Alegre do Maranhão,26056
2100436,2015,Alto Alegre do Maranhão,26348
2100436,2016,Alto Alegre do Maranhão,26619
2100436,2017,Alto Alegre do Maranhão,26872
2100436,2018,Alto Alegre do Maranhão,26839
2100436,2019,Alto Alegre do Maranhão,27053
2100436,2020,Alto Alegre do Maranhão,27858
2100436,2021,Alto Alegre do Maranhão,28066
2100436,2022,Alto Alegre do Maranhão,26892
2100436,2023,Alto Alegre do Maranhão,25717
2100436,2024,Alto Alegre do Maranhão,24543
2100436,2025,Alto Alegre do Maranhão,24528
2100436,2026,Alto Alegre do Maranhão,24528
2100477,2008,Alto Alegre do Pindaré,32955
2100477,2009,Alto Alegre do Pindaré,33211
2100477,2010,Alto Alegre do Pindaré,32168
2100477,2011,Alto Alegre do Pindaré,31125
2100477,2012,Alto Alegre do Pindaré,31190
2100477,2013,Alto Alegre do Pindaré,31253
2100477,2014,Alto Alegre do Pindaré,31271
2100477,2015,Alto Alegre do Pindaré,31287
2100477,2016,Alto Alegre do Pindaré,31303
2100477,2017,Alto Alegre do Pindaré,31312
2100477,2018,Alto Alegre do Pindaré,31894
2100477,2019,Alto Alegre do Pindaré,31919
2100477,2020,Alto Alegre do Pindaré,31943
