cod_ibge,ano,municipio,populacao
4100103,2008,Abatiá,7965
4100103,2009,Abatiá,7928
4100103,2010,Abatiá,7828
4100103,2011,Abatiá,7727
4100103,2012,Abatiá,7690
4100103,2013,Abatiá,7881
4100103,2014,Abatiá,7852
4100103,2015,Abatiá,7823
4100103,2016,Abatiá,7795
4100103,2017,Abatiá,7768
4100103,2018,Abatiá,7507
4100103,2019,Abatiá,7457
4100103,2020,Abatiá,7408
4100103,2021,Abatiá,7360
4100103,2022,Abatiá,7330
4100103,2023,Abatiá,7301
4100103,2024,Abatiá,7271
4100103,2025,Abatiá,7233
4100103,2026,Abatiá,7233
4100202,2008,Adrianópolis,6875
4100202,2009,Adrianópolis,6856
4100202,2010,Adrianópolis,6592
4100202,2011,Adrianópolis,6328
4100202,2012,Adrianópolis,6281
4100202,2013,Adrianópolis,6416
4100202,2014,Adrianópolis,6374
4100202,2015,Adrianópolis,6333
4100202,2016,Adrianópolis,6293
4100202,2017,Adrianópolis,6254
4100202,2018,Adrianópolis,5983
4100202,2019,Adrianópolis,5919
4100202,2020,Adrianópolis,5857
4100202,2021,Adrianópolis,5797
4100202,2022,Adrianópolis,5974
4100202,2023,Adrianópolis,6150
4100202,2024,Adrianópolis,6327
4100202,2025,Adrianópolis,6319
4100202,2026,Adrianópolis,6319
4100301,2008,Agudos do Sul,8601
4100301,2009,Agudos do Sul,8735
4100301,2010,Agudos do Sul,8543
4100301,2011,Agudos do Sul,8351
4100301,2012,Agudos do Sul,8429
4100301,2013,Agudos do Sul,8797
4100301,2014,Agudos do Sul,8892
4100301,2015,Agudos do Sul,8983
4100301,2016,Agudos do Sul,9073
4100301,2017,Agudos do Sul,9161
4100301,2018,Agudos do Sul,9269
4100301,2019,Agudos do Sul,9371
4100301,2020,Agudos do Sul,9470
4100301,2021,Agudos do Sul,9567
4100301,2022,Agudos do Sul,9927
4100301,2023,Agudos do Sul,10286
4100301,2024,Agudos do Sul,10646
4100301,2025,Agudos do Sul,10770
4100301,2026,Agudos do Sul,10770
4100400,2008,Almirante Tamandaré,96739
4100400,2009,Almirante Tamandaré,97523
4100400,2010,Almirante Tamandaré,100936
4100400,2011,Almirante Tamandaré,104350
4100400,2012,Almirante Tamandaré,105458
4100400,2013,Almirante Tamandaré,110256
4100400,2014,Almirante Tamandaré,111586
4100400,2015,Almirante Tamandaré,112870
4100400,2016,Almirante Tamandaré,114129
4100400,2017,Almirante Tamandaré,115364
4100400,2018,Almirante Tamandaré,117168
4100400,2019,Almirante Tamandaré,118623
4100400,2020,Almirante Tamandaré,120041
4100400,2021,Almirante Tamandaré,121420
4100400,2022,Almirante Tamandaré,122543
4100400,2023,Almirante Tamandaré,123665
4100400,2024,Almirante Tamandaré,124788
4100400,2025,Almirante Tamandaré,125861
4100400,2026,Almirante Tamandaré,125861
4100459,2008,Altamira do Paraná,4101
4100459,2009,Altamira do Paraná,3799
4100459,2010,Altamira do Paraná,3950
4100459,2011,Altamira do Paraná,4100
4100459,2012,Altamira do Paraná,3900
4100459,2013,Altamira do Paraná,3754
4100459,2014,Altamira do Paraná,3544
4100459,2015,Altamira do Paraná,3341
4100459,2016,Altamira do Paraná,3143
4100459,2017,Altamira do Paraná,2948
4100459,2018,Altamira do Paraná,2209
4100459,2019,Altamira do Paraná,1942
4100459,2020,Altamira do Paraná,1682
4100459,2021,Altamira do Paraná,1429
4100459,2022,Altamira do Paraná,2134
4100459,2023,Altamira do Paraná,2838
4100459,2024,Altamira do Paraná,3543
4100459,2025,Altamira do Paraná,3496
4100459,2026,Altamira do Paraná,3496
4100608,2008,Alto Paraná,13379
4100608,2009,Alto Paraná,13435
4100608,2010,Alto Paraná,13586
4100608,2011,Alto Paraná,13736
4100608,2012,Alto Paraná,13806
4100608,2013,Alto Paraná,14334
4100608,2014,Alto Paraná,14427
4100608,2015,Alto Paraná,14518
4100608,2016,Alto Paraná,14606
4100608,2017,Alto Paraná,14693
4100608,2018,Alto Paraná,14679
4100608,2019,Alto Paraná,14770
4100608,2020,Alto Paraná,14859
4100608,2021,Alto Paraná,14945
4100608,2022,Alto Paraná,14676
4100608,2023,Alto Paraná,14407
4100608,2024,Alto Paraná,14138
4100608,2025,Alto Paraná,14183
4100608,2026,Alto Paraná,14183
4128625,2008,Alto Paraíso,3273
4128625,2009,Alto Paraíso,3217
4128625,2010,Alto Paraíso,3190
4128625,2011,Alto Paraíso,3162
4128625,2012,Alto Paraíso,3119
4128625,2013,Alto Paraíso,3159
4128625,2014,Alto Paraíso,3116
4128625,2015,Alto Paraíso,3077
4128625,2016,Alto Paraíso,3037
4128625,2017,Alto Paraíso,2998
4128625,2018,Alto Paraíso,2799
4128625,2019,Alto Paraíso,2741
4128625,2020,Alto Paraíso,2685
4128625,2021,Alto Paraíso,2630
4128625,2022,Alto Paraíso,2779
4128625,2023,Alto Paraíso,2928
4128625,2024,Alto Paraíso,3077
4128625,2025,Alto Paraíso,3067
4128625,2026,Alto Paraíso,3067
4100707,2008,Alto Piquiri,10448
4100707,2009,Alto Piquiri,10406
4100707,2010,Alto Piquiri,10270
4100707,2011,Alto Piquiri,10135
4100707,2012,Alto Piquiri,10092
4100707,2013,Alto Piquiri,10350
4100707,2014,Alto Piquiri,10317
4100707,2015,Alto Piquiri,10285
4100707,2016,Alto Piquiri,10253
4100707,2017,Alto Piquiri,10222
4100707,2018,Alto Piquiri,9896
4100707,2019,Alto Piquiri,9836
4100707,2020,Alto Piquiri,9778
4100707,2021,Alto Piquiri,9722
4100707,2022,Alto Piquiri,9749
4100707,2023,Alto Piquiri,9775
4100707,2024,Alto Piquiri,9802
4100707,2025,Alto Piquiri,9771
4100707,2026,Alto Piquiri,9771
4100509,2008,Altônia,20638
4100509,2009,Altônia,20764
4100509,2010,Altônia,20690
4100509,2011,Altônia,20615
4100509,2012,Altônia,20711
4100509,2013,Altônia,21489
4100509,2014,Altônia,21619
4100509,2015,Altônia,21744
4100509,2016,Altônia,21867
4100509,2017,Altônia,21988
4100509,2018,Altônia,21933
4100509,2019,Altônia,22056
4100509,2020,Altônia,22176
4100509,2021,Altônia,22293
4100509,2022,Altônia,21112
4100509,2023,Altônia,19931
4100509,2024,Altônia,18750
4100509,2025,Altônia,18634
4100509,2026,Altônia,18634
4100806,2008,Alvorada do Sul,9262
4100806,2009,Alvorada do Sul,9255
4100806,2010,Alvorada do Sul,9809
4100806,2011,Alvorada do Sul,10363
4100806,2012,Alvorada do Sul,10439
4100806,2013,Alvorada do Sul,10869
4100806,2014,Alvorada do Sul,10965
4100806,2015,Alvorada do Sul,11057
4100806,2016,Alvorada do Sul,11148
4100806,2017,Alvorada do Sul,11237
4100806,2018,Alvorada do Sul,11306
4100806,2019,Alvorada do Sul,11406
4100806,2020,Alvorada do Sul,11503
4100806,2021,Alvorada do Sul,11598
4100806,2022,Alvorada do Sul,11225
4100806,2023,Alvorada do Sul,10851
4100806,2024,Alvorada do Sul,10478
4100806,2025,Alvorada do Sul,10481
4100806,2026,Alvorada do Sul,10481
4100905,2008,Amaporã,5378
4100905,2009,Amaporã,5447
4100905,2010,Amaporã,5476
4100905,2011,Amaporã,5504
4100905,2012,Amaporã,5562
4100905,2013,Amaporã,5815
4100905,2014,Amaporã,5885
4100905,2015,Amaporã,5953
4100905,2016,Amaporã,6019
4100905,2017,Amaporã,6084
4100905,2018,Amaporã,6181
4100905,2019,Amaporã,6257
4100905,2020,Amaporã,6332
4100905,2021,Amaporã,6405
4100905,2022,Amaporã,5849
4100905,2023,Amaporã,5292
4100905,2024,Amaporã,4736
4100905,2025,Amaporã,4688
4100905,2026,Amaporã,4688
4101002,2008,Ampére,17830
4101002,2009,Ampére,18041
4101002,2010,Ampére,17740
4101002,2011,Ampére,17438
4101002,2012,Ampére,17563
4101002,2013,Ampére,18281
4101002,2014,Ampére,18439
4101002,2015,Ampére,18591
4101002,2016,Ampére,18740
4101002,2017,Ampére,18886
4101002,2018,Ampére,18989
4101002,2019,Ampére,19152
