cod_ibge,municipio,uf,faixa,obitos_a00a09_antes,obitos_a00a09_depois,obitos_mal_definidos_antes,obitos_mal_definidos_depois,obitos_total_antes,obitos_total_depois,rede_2010,esgoto_rede_pct,d_rede
1100015,Alta Floresta D'Oeste,RO,0a4,0.0,0.0,4.0,0.0,41.0,17.0,0.29,0.47,0.18
1100015,Alta Floresta D'Oeste,RO,20a59,0.0,0.0,29.0,17.0,198.0,236.0,0.29,0.47,0.18
1100015,Alta Floresta D'Oeste,RO,5a19,0.0,0.0,5.0,0.0,20.0,13.0,0.29,0.47,0.18
1100015,Alta Floresta D'Oeste,RO,60mais,0.0,1.0,38.0,42.0,295.0,552.0,0.29,0.47,0.18
1100023,Ariquemes,RO,0a4,3.0,0.0,7.0,2.0,115.0,124.0,1.17,1.99,0.8200000000000001
1100023,Ariquemes,RO,20a59,2.0,0.0,30.0,34.0,921.0,1165.0,1.17,1.99,0.8200000000000001
1100023,Ariquemes,RO,5a19,0.0,0.0,2.0,0.0,122.0,68.0,1.17,1.99,0.8200000000000001
1100023,Ariquemes,RO,60mais,4.0,6.0,29.0,33.0,997.0,2018.0,1.17,1.99,0.8200000000000001
1100031,Cabixi,RO,0a4,0.0,0.0,0.0,1.0,9.0,5.0,0.1,1.58,1.48
1100031,Cabixi,RO,20a59,0.0,0.0,1.0,3.0,49.0,53.0,0.1,1.58,1.48
1100031,Cabixi,RO,5a19,0.0,0.0,0.0,0.0,2.0,1.0,0.1,1.58,1.48
1100031,Cabixi,RO,60mais,0.0,0.0,5.0,19.0,84.0,154.0,0.1,1.58,1.48
1100049,Cacoal,RO,0a4,3.0,1.0,2.0,1.0,102.0,80.0,40.1,67.19,27.089999999999996
1100049,Cacoal,RO,20a59,0.0,1.0,7.0,6.0,558.0,854.0,40.1,67.19,27.089999999999996
1100049,Cacoal,RO,5a19,0.0,0.0,1.0,1.0,57.0,46.0,40.1,67.19,27.089999999999996
1100049,Cacoal,RO,60mais,4.0,4.0,16.0,20.0,1056.0,2107.0,40.1,67.19,27.089999999999996
1100056,Cerejeiras,RO,0a4,0.0,0.0,0.0,0.0,23.0,10.0,0.09,57.99,57.9
1100056,Cerejeiras,RO,20a59,0.0,0.0,5.0,19.0,137.0,196.0,0.09,57.99,57.9
1100056,Cerejeiras,RO,5a19,0.0,0.0,3.0,1.0,12.0,8.0,0.09,57.99,57.9
1100056,Cerejeiras,RO,60mais,0.0,0.0,26.0,71.0,267.0,403.0,0.09,57.99,57.9
1100064,Colorado do Oeste,RO,0a4,1.0,0.0,1.0,1.0,28.0,14.0,0.5,2.62,2.12
1100064,Colorado do Oeste,RO,20a59,0.0,0.0,11.0,15.0,126.0,152.0,0.5,2.62,2.12
1100064,Colorado do Oeste,RO,5a19,0.0,0.0,0.0,1.0,13.0,7.0,0.5,2.62,2.12
1100064,Colorado do Oeste,RO,60mais,0.0,0.0,25.0,42.0,302.0,432.0,0.5,2.62,2.12
1100072,Corumbiara,RO,0a4,0.0,0.0,2.0,0.0,14.0,16.0,0.19,0.7,0.51
1100072,Corumbiara,RO,20a59,0.0,0.0,9.0,7.0,51.0,59.0,0.19,0.7,0.51
1100072,Corumbiara,RO,5a19,0.0,0.0,0.0,1.0,6.0,4.0,0.19,0.7,0.51
1100072,Corumbiara,RO,60mais,1.0,0.0,5.0,13.0,60.0,132.0,0.19,0.7,0.51
1100080,Costa Marques,RO,0a4,1.0,0.0,1.0,2.0,31.0,18.0,0.14,0.05,-0.09000000000000001
1100080,Costa Marques,RO,20a59,0.0,0.0,5.0,11.0,97.0,143.0,0.14,0.05,-0.09000000000000001
1100080,Costa Marques,RO,5a19,0.0,0.0,2.0,3.0,17.0,10.0,0.14,0.05,-0.09000000000000001
1100080,Costa Marques,RO,60mais,1.0,0.0,8.0,19.0,112.0,219.0,0.14,0.05,-0.09000000000000001
1100098,Espigão D'Oeste,RO,0a4,2.0,0.0,2.0,2.0,55.0,37.0,0.38,6.6,6.22
1100098,Espigão D'Oeste,RO,20a59,1.0,0.0,30.0,26.0,196.0,312.0,0.38,6.6,6.22
1100098,Espigão D'Oeste,RO,5a19,0.0,0.0,4.0,0.0,17.0,17.0,0.38,6.6,6.22
1100098,Espigão D'Oeste,RO,60mais,2.0,0.0,97.0,99.0,338.0,670.0,0.38,6.6,6.22
