estacao,estacao_nome,municipio,rio,sub_bacia,lat,lon,data,consistencia,choveu,od_mgl,od_saturacao_pct,ph,dbo_mgl,dqo_mgl,colif_termotolerantes,colif_fecais,ecoli,n_total_mgl,n_amoniacal_mgl,p_total_mgl,turbidez_ntu,solidos_totais_mgl,temp_amostra_c,condutividade_us_cm,iqa_ana
62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),BIRITIBA-MIRIM,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.565,-46.0158,2022-02-01 11:15:00,1,,3.29,,5.9,,,,,156.0,,,0.17,27.0,114.0,21.7,71.0,
62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),BIRITIBA-MIRIM,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.565,-46.0158,2022-05-10 13:22:00,1,,6.16,,6.4,,,,,29.0,,,0.02,3.2,100.0,21.5,26.0,
62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),BIRITIBA-MIRIM,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.565,-46.0158,2022-08-10 11:20:00,1,,7.0,,6.7,,,,,168.0,,0.1,0.03,5.1,100.0,18.0,33.0,
62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),BIRITIBA-MIRIM,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.565,-46.0158,2022-11-03 11:50:00,1,,4.17,,6.4,,,,,70.0,,0.1,0.02,4.1,100.0,19.2,32.0,
62076100,RIO TIETÊ (pte. rod. SP-88 - Mogi / Salesópolis),BIRITIBA-MIRIM,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.565,-46.0158,2023-02-14 15:50:00,1,,1.63,,6.0,,,,,124.0,,0.28,0.08,16.0,100.0,22.4,696.0,
62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.4767,-46.4997,2022-02-01 09:10:00,1,,1.0,,6.9,,,,,200000.0,,,0.41,37.0,266.0,22.9,396.0,
62155400,RIO TIETÊ (Ponte dos Remédios),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5197,-46.7464,2022-02-09 09:20:00,1,,0.75,,7.1,,,,,2100000.0,,,0.92,21.0,272.0,24.0,478.0,
62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5217,-46.6311,2022-03-03 09:21:00,1,,0.71,,7.2,,,,,5200000.0,,,1.26,37.0,378.0,26.2,656.0,
62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.4767,-46.4997,2022-05-10 10:49:00,1,,1.11,,7.1,,,,,1300000.0,,,2.35,40.0,360.0,19.9,624.0,
62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5217,-46.6311,2022-05-11 10:58:00,1,,0.21,,7.2,,,,,1900000.0,,,2.09,40.0,386.0,21.4,656.0,
62155400,RIO TIETÊ (Ponte dos Remédios),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5197,-46.7464,2022-05-12 09:00:00,1,,0.49,,7.3,,,,,1900000.0,,,2.21,75.0,190.0,21.2,611.0,
62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5217,-46.6311,2022-08-10 09:12:00,1,,0.38,,7.3,,,,,9200000.0,,17.3,1.67,50.0,388.0,18.9,690.0,
62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.4767,-46.4997,2022-08-10 09:50:00,1,,0.48,,7.2,,,,,1600000.0,,13.3,1.57,85.0,354.0,18.3,497.0,
62155400,RIO TIETÊ (Ponte dos Remédios),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5197,-46.7464,2022-08-24 09:40:00,1,,0.5,,7.1,,,,,1600000.0,,25.3,4.33,55.0,552.0,19.7,753.0,
62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5217,-46.6311,2022-11-03 09:09:00,1,,0.53,,7.3,,,,,5800000.0,,16.5,1.45,45.0,364.0,19.2,649.0,
62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.4767,-46.4997,2022-11-03 09:45:00,1,,0.69,,7.2,,,,,950000.0,,11.0,1.8,36.0,362.0,19.5,544.0,
62155400,RIO TIETÊ (Ponte dos Remédios),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5197,-46.7464,2022-11-17 09:03:00,1,,0.35,,7.5,,,,,2800000.0,,20.1,2.29,28.0,370.0,23.0,679.0,
62155300,RIO TIETÊ (pte. das Bandeiras-Av. Santos Dumont),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5217,-46.6311,2023-01-11 09:50:00,1,,1.22,,7.0,,,,,2500000.0,,10.5,1.38,18.0,286.0,22.0,493.0,
62155400,RIO TIETÊ (Ponte dos Remédios),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5197,-46.7464,2023-02-08 09:00:00,1,,2.21,,6.9,,,,,280000.0,,3.63,0.29,85.0,204.0,23.4,236.0,
62155100,RIO TIETÊ (pte rod. Airton Senna-Parque Ecológico),GUARULHOS,RIO TIETÊ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.4767,-46.4997,2023-02-14 11:25:00,1,,1.85,,6.8,,,,,160000.0,,2.99,0.6,50.0,218.0,24.4,699.0,
62126220,TAIACUPEBA,SUZANO,RIO TAIACUPEBA-AÇU,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5764,-46.2889,2022-03-09 12:06:00,1,,7.11,,7.3,,,,,7.0,,,0.04,3.9,100.0,30.2,62.0,
62126220,TAIACUPEBA,SUZANO,RIO TAIACUPEBA-AÇU,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5764,-46.2889,2022-06-01 11:51:00,1,,8.96,,6.4,,,,,96.0,,0.1,0.03,2.9,100.0,18.7,55.0,
62126220,TAIACUPEBA,SUZANO,RIO TAIACUPEBA-AÇU,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5764,-46.2889,2022-09-08 14:25:00,1,,9.17,,6.9,,,,,2.0,,0.1,0.03,3.4,100.0,21.9,47.0,
62126220,TAIACUPEBA,SUZANO,RIO TAIACUPEBA-AÇU,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5764,-46.2889,2022-12-01 11:44:00,1,,8.45,,6.9,,,,,50.0,,0.1,0.04,6.5,100.0,23.6,53.0,
62126220,TAIACUPEBA,SUZANO,RIO TAIACUPEBA-AÇU,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5764,-46.2889,2023-03-01 12:42:00,1,,8.06,,7.4,,,,,6.0,,0.1,0.03,4.1,100.0,27.6,56.0,
62121900,CÓRREGO DO MORRO DO S,SÃO PAULO,CÓRREGO DA CACHOEIRA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.3939,-46.7411,2022-01-05 10:24:00,1,,2.89,,7.6,,,,,4400000.0,,,2.03,16.0,344.0,23.2,529.0,
62121900,CÓRREGO DO MORRO DO S,SÃO PAULO,CÓRREGO DA CACHOEIRA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.3939,-46.7411,2022-04-12 11:40:00,1,,0.22,,7.4,,,,,8400000.0,,,3.8,70.0,358.0,25.3,644.0,
62121900,CÓRREGO DO MORRO DO S,SÃO PAULO,CÓRREGO DA CACHOEIRA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.3939,-46.7411,2022-07-20 11:50:00,1,,0.34,,7.6,,,,,2900000.0,,40.8,4.16,85.0,436.0,18.9,727.0,
62121900,CÓRREGO DO MORRO DO S,SÃO PAULO,CÓRREGO DA CACHOEIRA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.3939,-46.7411,2022-10-06 10:04:00,1,,1.18,,7.8,,,,,3300000.0,,29.4,3.38,32.0,442.0,22.7,657.0,
62121900,CÓRREGO DO MORRO DO S,SÃO PAULO,CÓRREGO DA CACHOEIRA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.3939,-46.7411,2023-01-17 09:47:00,1,,1.25,,7.6,,,,,3100000.0,,23.0,2.26,24.0,326.0,25.3,586.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-03-09 13:25:00,1,,6.87,,7.3,,,,,103.0,,,0.03,20.0,100.0,28.1,37.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-06-01 13:20:00,1,,6.7,,6.0,,,,,3600.0,,0.1,0.02,11.0,148.0,17.4,34.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-09-08 13:10:00,1,,6.6,,6.0,,,,,276.0,,0.1,0.01,8.9,100.0,18.8,35.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-12-01 11:35:00,1,,6.22,,6.2,,,,,1040.0,,0.1,0.03,37.0,100.0,24.2,29.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2023-03-02 14:15:00,1,,6.02,,6.2,,,,,16.0,,0.1,0.01,6.6,100.0,27.7,30.0,
