cod_ibge,municipio,ano,area_km2,populacao,galinaceos,suinos,suinos_km2,galinaceos_km2,suinos_hab,galinaceos_hab
4102000,Assis Chateaubriand,2008,983.0,33077,3254971.0,21540.0,21.91,3311.3,0.651,98.4
4102000,Assis Chateaubriand,2009,983.0,33023,3338771.0,20701.0,21.06,3396.5,0.627,101.1
4102000,Assis Chateaubriand,2010,983.0,33013,4114205.0,41594.0,42.31,4185.4,1.26,124.6
4102000,Assis Chateaubriand,2011,983.0,33003,4388912.0,36704.0,37.34,4464.8,1.112,133.0
4102000,Assis Chateaubriand,2012,983.0,32981,4608357.0,34095.0,34.68,4688.1,1.034,139.7
4102000,Assis Chateaubriand,2013,983.0,33988,5530020.0,30530.0,31.06,5625.7,0.898,162.7
4102000,Assis Chateaubriand,2014,983.0,34008,5511231.0,32051.0,32.61,5606.5,0.942,162.1
4102000,Assis Chateaubriand,2015,983.0,34027,5914950.0,30873.0,31.41,6017.2,0.907,173.8
4102000,Assis Chateaubriand,2016,983.0,34046,6309694.0,31320.0,31.86,6418.8,0.92,185.3
4102000,Assis Chateaubriand,2017,983.0,34064,6909431.0,33055.0,33.63,7028.9,0.97,202.8
4102000,Assis Chateaubriand,2018,983.0,33397,6417177.0,37940.0,38.6,6528.2,1.136,192.1
4102000,Assis Chateaubriand,2019,983.0,33362,6598185.0,38820.0,39.49,6712.3,1.164,197.8
4102000,Assis Chateaubriand,2020,983.0,33340,7821837.0,34584.0,35.18,7957.1,1.037,234.6
4102000,Assis Chateaubriand,2021,983.0,33306,8211615.0,39055.0,39.73,8353.6,1.173,246.6
4102000,Assis Chateaubriand,2022,983.0,34906,7900035.0,39291.0,39.97,8036.7,1.126,226.3
4102000,Assis Chateaubriand,2023,983.0,36505,8652724.0,41355.0,42.07,8802.4,1.133,237.0
4102000,Assis Chateaubriand,2024,983.0,38105,8638893.0,43587.0,44.34,8788.3,1.144,226.7
4102000,Assis Chateaubriand,2025,983.0,38357,8638893.0,43587.0,44.34,8788.3,1.136,225.2
4102000,Assis Chateaubriand,2026,983.0,38357,8638893.0,43587.0,44.34,8788.3,1.136,225.2
4103057,Boa Vista da Aparecida,2008,266.8,7972,1083510.0,7797.0,29.22,4061.1,0.978,135.9
4103057,Boa Vista da Aparecida,2009,266.8,7919,834619.0,5232.0,19.61,3128.3,0.661,105.4
4103057,Boa Vista da Aparecida,2010,266.8,7896,798788.0,4998.0,18.73,2994.0,0.633,101.2
4103057,Boa Vista da Aparecida,2011,266.8,7872,836218.0,5249.0,19.67,3134.3,0.667,106.2
4103057,Boa Vista da Aparecida,2012,266.8,7834,832951.0,8420.0,31.56,3122.0,1.075,106.3
4103057,Boa Vista da Aparecida,2013,266.8,8028,606441.0,3971.0,14.88,2273.0,0.495,75.5
4103057,Boa Vista da Aparecida,2014,266.8,7998,708000.0,3340.0,12.52,2653.7,0.418,88.5
4103057,Boa Vista da Aparecida,2015,266.8,7968,696187.0,3558.0,13.34,2609.4,0.447,87.4
4103057,Boa Vista da Aparecida,2016,266.8,7939,741840.0,3583.0,13.43,2780.5,0.451,93.4
4103057,Boa Vista da Aparecida,2017,266.8,7911,525982.0,1737.0,6.51,1971.4,0.22,66.5
4103057,Boa Vista da Aparecida,2018,266.8,7643,521014.0,1706.0,6.39,1952.8,0.223,68.2
4103057,Boa Vista da Aparecida,2019,266.8,7591,520900.0,1743.0,6.53,1952.4,0.23,68.6
4103057,Boa Vista da Aparecida,2020,266.8,7540,521000.0,1863.0,6.98,1952.8,0.247,69.1
4103057,Boa Vista da Aparecida,2021,266.8,7524,859557.0,1395.0,5.23,3221.7,0.185,114.2
4103057,Boa Vista da Aparecida,2022,266.8,7694,935742.0,1152.0,4.32,3507.3,0.15,121.6
4103057,Boa Vista da Aparecida,2023,266.8,7864,684105.0,862.0,3.23,2564.1,0.11,87.0
4103057,Boa Vista da Aparecida,2024,266.8,8034,678000.0,976.0,3.66,2541.2,0.121,84.4
4103057,Boa Vista da Aparecida,2025,266.8,8023,678000.0,976.0,3.66,2541.2,0.122,84.5
4103057,Boa Vista da Aparecida,2026,266.8,8023,678000.0,976.0,3.66,2541.2,0.122,84.5
4103354,Braganey,2008,344.2,6213,310638.0,6862.0,19.94,902.5,1.104,50.0
4103354,Braganey,2009,344.2,6209,252124.0,4435.0,12.88,732.5,0.714,40.6
4103354,Braganey,2010,344.2,5954,230878.0,4800.0,13.95,670.8,0.806,38.8
4103354,Braganey,2011,344.2,5700,243127.0,4932.0,14.33,706.4,0.865,42.7
4103354,Braganey,2012,344.2,5667,224350.0,5226.0,15.18,651.8,0.922,39.6
4103354,Braganey,2013,344.2,5799,235567.0,5383.0,15.64,684.4,0.928,40.6
4103354,Braganey,2014,344.2,5770,247345.0,5545.0,16.11,718.6,0.961,42.9
4103354,Braganey,2015,344.2,5742,290600.0,1350.0,3.92,844.3,0.235,50.6
4103354,Braganey,2016,344.2,5714,600000.0,454.0,1.32,1743.2,0.079,105.0
4103354,Braganey,2017,344.2,5687,580500.0,426.0,1.24,1686.5,0.075,102.1
4103354,Braganey,2018,344.2,5473,490400.0,967.0,2.81,1424.8,0.177,89.6
4103354,Braganey,2019,344.2,5427,433480.0,896.0,2.6,1259.4,0.165,79.9
4103354,Braganey,2020,344.2,5382,434000.0,844.0,2.45,1260.9,0.157,80.6
4103354,Braganey,2021,344.2,5338,635093.0,911.0,2.65,1845.1,0.171,119.0
4103354,Braganey,2022,344.2,5159,645093.0,827.0,2.4,1874.2,0.16,125.0
4103354,Braganey,2023,344.2,4981,486640.0,772.0,2.24,1413.8,0.155,97.7
