ano,mes,grupo,internacoes
2008,1,A00-A09 intestinais,383
2008,1,TODAS AS CAUSAS,5466
2008,2,A00-A09 intestinais,264
2008,2,A27 leptospirose,1
2008,2,B15 hepatite A,2
2008,2,B65-B83 helmintiases,1
2008,2,TODAS AS CAUSAS,6679
2008,3,A00-A09 intestinais,485
2008,3,B15 hepatite A,2
2008,3,TODAS AS CAUSAS,6924
2008,4,A00-A09 intestinais,309
2008,4,TODAS AS CAUSAS,6642
2008,5,A00-A09 intestinais,317
2008,5,A27 leptospirose,1
2008,5,TODAS AS CAUSAS,6390
2008,6,A00-A09 intestinais,273
2008,6,B15 hepatite A,2
2008,6,TODAS AS CAUSAS,6611
2008,7,A00-A09 intestinais,301
2008,7,TODAS AS CAUSAS,6601
2008,8,A00-A09 intestinais,308
2008,8,B15 hepatite A,1
2008,8,B65-B83 helmintiases,1
2008,8,TODAS AS CAUSAS,7007
2008,9,A00-A09 intestinais,325
2008,9,B15 hepatite A,1
2008,9,TODAS AS CAUSAS,6802
2008,10,A00-A09 intestinais,364
2008,10,B15 hepatite A,1
2008,10,TODAS AS CAUSAS,6580
2008,11,A00-A09 intestinais,286
2008,11,TODAS AS CAUSAS,6049
2008,12,A00-A09 intestinais,341
2008,12,TODAS AS CAUSAS,5518
2009,1,A00-A09 intestinais,312
2009,1,TODAS AS CAUSAS,6964
2009,2,A00-A09 intestinais,302
2009,2,TODAS AS CAUSAS,6782
2009,3,A00-A09 intestinais,329
2009,3,TODAS AS CAUSAS,7158
2009,4,A00-A09 intestinais,341
2009,4,B15 hepatite A,1
2009,4,TODAS AS CAUSAS,6863
2009,5,A00-A09 intestinais,261
2009,5,TODAS AS CAUSAS,6572
2009,6,A00-A09 intestinais,236
2009,6,TODAS AS CAUSAS,6837
2009,7,A00-A09 intestinais,185
2009,7,TODAS AS CAUSAS,6421
2009,8,A00-A09 intestinais,146
2009,8,A27 leptospirose,1
2009,8,TODAS AS CAUSAS,6632
2009,9,A00-A09 intestinais,178
2009,9,A27 leptospirose,1
2009,9,TODAS AS CAUSAS,7193
2009,10,A00-A09 intestinais,175
2009,10,B15 hepatite A,1
2009,10,TODAS AS CAUSAS,6502
2009,11,A00-A09 intestinais,195
2009,11,B15 hepatite A,1
2009,11,TODAS AS CAUSAS,6742
2009,12,A00-A09 intestinais,339
2009,12,B15 hepatite A,1
2009,12,B65-B83 helmintiases,1
2009,12,TODAS AS CAUSAS,6657
2010,1,A00-A09 intestinais,298
2010,1,TODAS AS CAUSAS,6451
2010,2,A00-A09 intestinais,322
2010,2,TODAS AS CAUSAS,6546
2010,3,A00-A09 intestinais,339
