ano,mes,grupo,internacoes
2008,1,A00-A09 intestinais,3550
2008,1,B15 hepatite A,10
2008,1,B65-B83 helmintiases,2
2008,1,TODAS AS CAUSAS,21374
2008,2,A00-A09 intestinais,3953
2008,2,B15 hepatite A,8
2008,2,B65-B83 helmintiases,3
2008,2,TODAS AS CAUSAS,25646
2008,3,A00-A09 intestinais,3711
2008,3,B15 hepatite A,11
2008,3,B65-B83 helmintiases,2
2008,3,TODAS AS CAUSAS,26704
2008,4,A00-A09 intestinais,3715
2008,4,A27 leptospirose,1
2008,4,B15 hepatite A,13
2008,4,B65-B83 helmintiases,1
2008,4,TODAS AS CAUSAS,28662
2008,5,A00-A09 intestinais,3109
2008,5,B15 hepatite A,10
2008,5,B65-B83 helmintiases,1
2008,5,TODAS AS CAUSAS,28303
2008,6,A00-A09 intestinais,2958
2008,6,B15 hepatite A,13
2008,6,B65-B83 helmintiases,2
2008,6,TODAS AS CAUSAS,29152
2008,7,A00-A09 intestinais,2821
2008,7,A27 leptospirose,1
2008,7,B15 hepatite A,12
2008,7,B65-B83 helmintiases,5
2008,7,TODAS AS CAUSAS,29644
2008,8,A00-A09 intestinais,2719
2008,8,A27 leptospirose,2
2008,8,B15 hepatite A,10
2008,8,B65-B83 helmintiases,4
2008,8,TODAS AS CAUSAS,29329
2008,9,A00-A09 intestinais,2907
2008,9,A27 leptospirose,1
2008,9,B15 hepatite A,11
2008,9,B65-B83 helmintiases,5
2008,9,TODAS AS CAUSAS,28400
2008,10,A00-A09 intestinais,3173
2008,10,A27 leptospirose,1
2008,10,B15 hepatite A,2
2008,10,B65-B83 helmintiases,7
2008,10,TODAS AS CAUSAS,30182
2008,11,A00-A09 intestinais,3158
2008,11,B15 hepatite A,14
2008,11,B65-B83 helmintiases,3
2008,11,TODAS AS CAUSAS,27197
2008,12,A00-A09 intestinais,3092
2008,12,B15 hepatite A,10
2008,12,B65-B83 helmintiases,1
2008,12,TODAS AS CAUSAS,27144
2009,1,A00-A09 intestinais,3586
2009,1,B15 hepatite A,6
2009,1,B65-B83 helmintiases,1
2009,1,TODAS AS CAUSAS,25992
2009,2,A00-A09 intestinais,4169
2009,2,B15 hepatite A,13
