ano,mes,grupo,internacoes
2008,1,A00-A09 intestinais,2486
2008,1,A27 leptospirose,15
2008,1,B15 hepatite A,9
2008,1,B65-B83 helmintiases,7
2008,1,TODAS AS CAUSAS,51030
2008,2,A00-A09 intestinais,2592
2008,2,A27 leptospirose,23
2008,2,B15 hepatite A,19
2008,2,B65-B83 helmintiases,16
2008,2,TODAS AS CAUSAS,63460
2008,3,A00-A09 intestinais,2753
2008,3,A27 leptospirose,17
2008,3,B15 hepatite A,15
2008,3,B65-B83 helmintiases,11
2008,3,TODAS AS CAUSAS,64631
2008,4,A00-A09 intestinais,2537
2008,4,A27 leptospirose,15
2008,4,B15 hepatite A,9
2008,4,B65-B83 helmintiases,7
2008,4,TODAS AS CAUSAS,62281
2008,5,A00-A09 intestinais,2305
2008,5,A27 leptospirose,9
2008,5,B15 hepatite A,6
2008,5,B65-B83 helmintiases,12
2008,5,TODAS AS CAUSAS,62211
2008,6,A00-A09 intestinais,2403
2008,6,A27 leptospirose,5
2008,6,B15 hepatite A,7
2008,6,B65-B83 helmintiases,10
2008,6,TODAS AS CAUSAS,64539
2008,7,A00-A09 intestinais,2473
2008,7,A27 leptospirose,4
2008,7,B15 hepatite A,5
2008,7,B65-B83 helmintiases,14
2008,7,TODAS AS CAUSAS,64489
2008,8,A00-A09 intestinais,2424
2008,8,A27 leptospirose,4
2008,8,B15 hepatite A,5
2008,8,B65-B83 helmintiases,16
2008,8,TODAS AS CAUSAS,63415
2008,9,A00-A09 intestinais,2549
2008,9,A27 leptospirose,5
2008,9,B15 hepatite A,4
2008,9,B65-B83 helmintiases,8
2008,9,TODAS AS CAUSAS,63635
2008,10,A00-A09 intestinais,2394
2008,10,A27 leptospirose,4
2008,10,B15 hepatite A,7
2008,10,B65-B83 helmintiases,15
2008,10,TODAS AS CAUSAS,64518
2008,11,A00-A09 intestinais,2251
2008,11,A27 leptospirose,4
2008,11,B15 hepatite A,8
2008,11,B65-B83 helmintiases,9
2008,11,TODAS AS CAUSAS,59544
2008,12,A00-A09 intestinais,2368
