cod6,ano,faixa,obitos_a00a09,obitos_mal_definidos,obitos_total
210005,2008,0a4,3,0,44
210005,2008,20a59,0,8,147
210005,2008,5a19,0,0,38
210005,2008,60mais,3,11,213
210005,2009,0a4,1,1,46
210005,2009,20a59,1,8,188
210005,2009,5a19,0,2,15
210005,2009,60mais,3,14,217
210005,2010,0a4,3,0,35
210005,2010,20a59,0,3,192
210005,2010,5a19,0,0,17
210005,2010,60mais,1,9,195
210005,2011,0a4,1,2,41
210005,2011,20a59,0,5,155
210005,2011,5a19,0,0,14
210005,2011,60mais,1,16,245
210005,2012,0a4,0,0,23
210005,2012,20a59,0,4,180
210005,2012,5a19,0,1,20
210005,2012,60mais,3,12,231
210005,2013,0a4,1,0,42
210005,2013,20a59,0,3,180
210005,2013,5a19,0,0,20
210005,2013,60mais,2,12,233
210005,2014,0a4,0,0,41
210005,2014,20a59,1,3,186
210005,2014,5a19,0,0,8
210005,2014,60mais,1,15,253
210005,2015,0a4,0,1,42
210005,2015,20a59,0,7,179
210005,2015,5a19,0,0,16
210005,2015,60mais,2,10,310
210005,2016,0a4,2,2,42
210005,2016,20a59,0,3,188
210005,2016,5a19,0,0,24
210005,2016,60mais,0,1,310
210005,2017,0a4,0,2,33
210005,2017,20a59,0,5,214
210005,2017,5a19,0,0,22
210005,2017,60mais,0,9,335
210005,2018,0a4,1,2,34
210005,2018,20a59,0,2,164
210005,2018,5a19,0,0,14
210005,2018,60mais,0,7,307
210005,2019,0a4,1,0,24
210005,2019,20a59,0,4,195
210005,2019,5a19,1,0,14
210005,2019,60mais,0,5,367
210005,2020,0a4,0,0,26
210005,2020,20a59,1,8,242
210005,2020,5a19,0,0,17
210005,2020,60mais,1,8,490
210005,2021,0a4,0,2,23
210005,2021,20a59,1,5,279
210005,2021,5a19,0,0,13
210005,2021,60mais,1,7,485
210005,2022,0a4,1,0,30
210005,2022,20a59,0,10,209
210005,2022,5a19,0,1,18
210005,2022,60mais,0,4,422
210005,2023,0a4,0,0,22
210005,2023,20a59,3,7,216
210005,2023,5a19,0,0,17
210005,2023,60mais,5,6,397
210005,2024,0a4,1,0,19
210005,2024,20a59,1,5,230
210005,2024,5a19,0,1,12
210005,2024,60mais,6,6,408
210010,2008,0a4,0,2,2
210010,2008,20a59,0,2,4
210010,2008,5a19,0,1,1
210010,2008,60mais,0,4,6
210010,2009,0a4,0,1,3
210010,2009,20a59,0,5,5
210010,2009,60mais,0,1,2
210010,2010,0a4,0,2,2
210010,2010,20a59,0,2,5
210010,2010,5a19,0,0,1
210010,2010,60mais,0,12,13
210010,2011,0a4,0,0,3
210010,2011,20a59,0,2,6
210010,2011,60mais,0,6,8
210010,2012,0a4,0,0,1
210010,2012,20a59,0,3,9
210010,2012,5a19,0,1,1
210010,2012,60mais,0,4,5
210010,2013,0a4,0,0,2
210010,2013,20a59,0,2,6
210010,2013,60mais,0,2,18
210010,2014,0a4,0,1,3
210010,2014,20a59,0,1,8
210010,2014,5a19,0,0,1
210010,2014,60mais,0,1,11
210010,2015,0a4,0,0,4
210010,2015,20a59,0,0,9
210010,2015,5a19,0,0,2
210010,2015,60mais,0,0,17
210010,2016,0a4,0,0,1
210010,2016,20a59,0,0,7
