cod_ibge,municipio,estrato,IES0001,IES0007,IES3001,IES3003,IAG0001
4117701,Palmeira,cobertura alta,65.13,60.02,0.01,0.0,69.32
4121406,Realeza,cobertura alta,65.51,60.52,0.0,0.0,80.08
4108601,Goioerê,cobertura alta,66.06,58.12,0.0,0.0,93.69
4106555,Corumbataí do Sul,cobertura alta,66.3,,0.0,0.0,66.24
4110102,Imbituva,cobertura alta,66.45,58.73,0.0,0.0,79.15
4128500,Wenceslau Braz,cobertura alta,66.55,56.49,0.03,0.03,83.32
4125803,São Pedro do Ivaí,cobertura alta,66.69,55.92,0.0,0.0,93.1
4118907,Pérola,cobertura alta,67.54,53.64,0.0,0.0,93.66
4126256,Sarandi,cobertura alta,68.31,,1.02,0.95,99.51
4105508,Cianorte,cobertura alta,68.65,60.24,0.51,0.22,93.09
4123402,Santa Fé,cobertura alta,68.77,56.67,0.07,0.24,91.26
4102703,Barra do Jacaré,cobertura alta,69.05,55.95,0.95,2.44,81.54
4125001,São João do Ivaí,cobertura alta,70.96,,0.0,0.0,87.8
4107108,Diamante do Norte,cobertura alta,71.22,61.77,0.0,0.0,86.54
4101705,Araruna,cobertura alta,71.24,59.61,0.0,0.0,93.58
4114807,Marialva,cobertura alta,71.62,84.39,0.06,0.9,78.76
4100608,Alto Paraná,cobertura alta,71.81,62.27,0.0,0.0,87.46
4104204,Campo Largo,cobertura alta,72.08,61.61,0.17,0.05,81.86
4121802,Ribeirão Claro,cobertura alta,72.11,,0.78,0.69,82.62
4100400,Almirante Tamandaré,cobertura alta,72.6,64.35,0.11,0.02,88.75
4115606,Matelândia,cobertura alta,72.88,65.7,0.0,0.0,80.56
4112405,Japurá,cobertura alta,72.89,,0.26,1.0,93.36
4126306,Sengés,cobertura alta,73.07,58.86,0.0,0.0,83.55
4106605,Cruzeiro do Oeste,cobertura alta,73.09,62.11,0.0,0.0,87.75
4122602,Rondon,cobertura alta,73.13,,0.08,0.16,87.15
4104709,Carlópolis,cobertura alta,73.23,63.15,0.08,0.05,75.5
4101002,Ampére,cobertura alta,74.26,66.6,0.0,0.0,81.05
4106100,Conselheiro Mairinck,cobertura alta,74.47,72.08,2.08,2.47,82.13
4123204,Santa Cecília do Pavão,cobertura alta,75.17,,0.0,,88.86
4119400,Piraí do Sul,cobertura alta,75.18,64.56,0.0,0.0,77.27
4123709,Santa Isabel do Ivaí,cobertura alta,75.21,79.47,0.37,1.0,86.8
4108403,Francisco Beltrão,cobertura alta,75.43,68.45,0.0,0.0,87.13
4127205,Terra Boa,cobertura alta,75.8,66.51,0.0,0.0,96.19
4108809,Guaíra,cobertura alta,76.03,65.54,0.09,0.11,89.45
4117909,Palotina,cobertura alta,76.65,64.69,0.0,0.0,92.05
4116901,Nova Esperança,cobertura alta,76.69,66.19,0.0,0.0,93.36
4121901,Ribeirão do Pinhal,cobertura alta,76.78,63.09,0.0,0.0,93.55
4105102,Centenário do Sul,cobertura alta,76.92,62.67,0.0,0.0,91.42
4117602,Palmas,cobertura alta,77.16,72.71,0.03,0.03,86.4
4111902,Jaguapitã,cobertura alta,77.55,,59.57,1.0,100.0
4109005,Guapirama,cobertura alta,77.73,72.93,0.16,0.35,82.83
4101101,Andirá,cobertura alta,77.76,,0.08,1.0,96.2
4108007,Florestópolis,cobertura alta,77.94,64.75,0.26,0.14,100.0
4104907,Castro,cobertura alta,78.82,66.53,0.0,0.0,80.59
4114005,Mamborê,cobertura alta,78.98,68.88,0.0,0.0,81.73
4128559,Vera Cruz do Oeste,cobertura alta,79.25,74.91,0.09,0.28,80.59
4112801,Joaquim Távora,cobertura alta,79.26,80.28,0.36,0.18,87.74
4126603,Siqueira Campos,cobertura alta,79.89,67.61,0.03,0.03,82.34
4112009,Jaguariaíva,cobertura alta,80.19,79.81,1.61,0.92,96.41
4104659,Carambeí,cobertura alta,80.52,69.93,0.15,0.07,81.29
4108320,Francisco Alves,cobertura alta,80.81,68.51,0.0,0.0,85.3
4106308,Corbélia,cobertura alta,81.86,,0.03,0.05,87.9
4105300,Céu Azul,cobertura alta,81.87,73.37,0.0,0.0,82.37
4114203,Mandaguari,cobertura alta,81.9,71.8,0.0,0.0,95.52
4110706,Irati,cobertura alta,82.48,77.92,0.0,0.0,83.39
4118105,Paranacity,cobertura alta,82.53,61.18,0.0,0.0,96.44
4105904,Colorado,cobertura alta,82.58,,4.62,1.0,100.0
4101606,Arapoti,cobertura alta,82.66,71.15,0.0,0.0,89.27
4123907,Santa Mariana,cobertura alta,83.06,68.58,0.0,0.0,88.83
4105805,Colombo,cobertura alta,84.0,74.9,0.81,0.14,98.02
4118204,Paranaguá,cobertura alta,84.0,48.53,3.48,1.0,83.11
4125308,São Jorge do Ivaí,cobertura alta,84.46,86.02,1.65,1.0,88.58
4126801,Tapejara,cobertura alta,84.62,97.05,1.63,1.0,90.02
4101804,Araucária,cobertura alta,84.68,72.08,0.12,0.04,89.78
4111001,Itambaracá,cobertura alta,84.9,59.91,0.48,1.0,100.0
4112108,Jandaia do Sul,cobertura alta,84.94,71.51,0.0,0.0,93.26
4101903,Assaí,cobertura alta,85.91,66.67,0.0,0.0,90.56
4120507,Primeiro de Maio,cobertura alta,86.05,62.77,0.0,0.0,92.98
4125506,São José dos Pinhais,cobertura alta,87.16,75.06,0.05,0.01,91.38
4104006,Campina Grande do Sul,cobertura alta,87.23,71.66,0.87,0.21,91.03
4102109,Astorga,cobertura alta,87.4,,0.01,0.01,95.56
4107306,Doutor Camargo,cobertura alta,87.85,67.57,0.06,0.11,90.62
4120101,Porto Amazonas,cobertura alta,88.02,82.65,0.0,0.0,93.0
4128401,Uraí,cobertura alta,89.19,80.83,0.02,0.01,89.59
4120804,Quatro Barras,cobertura alta,89.21,77.12,0.47,0.17,90.22
4119509,Piraquara,cobertura alta,89.58,78.91,0.01,0.0,86.31
4105706,Clevelândia,cobertura alta,89.82,84.49,0.0,0.0,90.85
4118006,Paraíso do Norte,cobertura alta,89.93,80.06,0.0,0.0,92.69
4126504,Sertanópolis,cobertura alta,90.0,81.49,0.0,,100.0
4103453,Cafelândia,cobertura alta,90.4,90.71,0.03,0.14,90.86
4102406,Bandeirantes,cobertura alta,90.61,86.57,3.32,0.93,92.02
4118501,Pato Branco,cobertura alta,90.62,80.52,0.7,0.3,95.47
4113502,Loanda,cobertura alta,90.65,79.52,0.0,0.0,92.97
4124905,São João do Caiuá,cobertura alta,90.91,93.75,0.0,0.0,91.89
4124053,Santa Terezinha de Itaipu,cobertura alta,90.94,82.42,0.05,0.05,91.6
4124103,Santo Antônio da Platina,cobertura alta,91.15,85.98,0.49,0.22,91.88
4120200,Porto Rico,cobertura alta,91.16,81.8,0.0,0.0,90.35
4127700,Toledo,cobertura alta,91.78,86.42,0.06,0.13,91.91
4109609,Guaratuba,cobertura alta,92.21,71.08,0.2,0.08,92.23
4113601,Lobato,cobertura alta,92.33,,0.05,1.0,92.33
